elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.773519,0,0,1662534
0.774898,0,0,1671733
0.776272,0,0,1809403
0.777791,0,0,1700626
0.779173,0,0,1670459
0.780562,0,0,1678248
0.781936,0,0,1660544
0.783306,0,0,1660349
0.784681,0,0,1665674
0.786053,0,0,1659576
0.787422,0,0,1660349
0.788811,0,0,1792759
0.790341,0,0,1727672
0.791693,0,0,1633563
0.793043,0,0,1634601
0.794391,0,0,1632252
0.795739,0,0,1631859
0.797086,0,0,1632462
0.798435,0,0,1633240
0.799888,0,0,1760279
0.801238,0,0,1634414
0.802593,0,0,1644358
0.803946,0,0,1635171
0.805295,0,0,1635997
0.806685,0,0,1672657
0.808021,0,0,1615529
0.809357,0,0,1618638
0.810700,0,0,1627111
0.812036,0,0,1617744
0.813372,0,0,1616095
0.814706,0,0,1615104
0.816039,0,0,1615581
0.817374,0,0,1617234
0.818709,0,0,1615727
0.820043,0,0,1614856
0.821382,0,0,1621391
0.822745,0,0,1756621
0.824152,0,0,1607387
0.825453,0,0,1675816
0.826815,0,0,1645707
0.828173,0,0,1643838
0.829531,0,0,1643196
0.830887,0,0,1643978
0.832267,0,0,1565911
0.833594,0,0,1718760
0.834960,0,0,1648875
0.836319,0,0,1644923
0.837677,0,0,1529828
0.838940,0,0,1650654
0.840364,0,0,1718343
0.841723,0,0,1645233
0.843084,0,0,1648872
0.844492,0,0,1441058
0.845633,0,0,1643342
0.846990,0,0,1644947
0.848350,0,0,1652884
0.849764,0,0,1704972
0.851171,0,0,1702650
0.852582,0,0,1725755
0.853960,0,0,1655886
0.855320,0,0,1644897
0.856892,0,0,1975182
0.858386,48206,48554,1564385
0.859887,0,0,1835007
0.861265,0,0,1644471
0.862621,0,0,1639337
0.863975,0,0,1644614
0.865355,0,0,1670590
0.866715,0,0,1647711
0.868073,0,0,1639729
0.869949,0,0,2291742
0.871328,0,0,1664306
0.872700,0,0,1659060
0.874071,0,0,1663979
0.875454,0,0,1675785
0.876828,0,0,1660544
0.878199,0,0,1658772
0.879568,0,0,1658247
0.880937,0,0,1660029
0.882308,0,0,1660910
0.883709,0,0,1696315
0.885081,0,0,1660590
0.886463,0,0,1676305
0.887839,0,0,1666499
0.889215,0,0,1666387
0.890590,0,0,1664145
0.891963,0,0,1663831
0.893340,0,0,1671554
0.894849,4,0,1857466
0.896398,0,0,1870807
0.897947,0,0,1873675
0.899480,0,0,1857120
0.900893,0,0,1689728
0.902452,0,0,1913729
0.903994,0,0,1867932
0.905411,0,0,1690845
0.906926,0,0,1860666
0.908486,0,0,1890642
0.910032,0,0,1872451
0.911577,0,0,1868963
0.913124,0,0,1876236
0.914671,0,0,1871292
0.916215,0,0,1877885
0.917767,0,0,1926668
0.919245,0,0,1709100
0.920764,0,0,1864958
0.922309,0,0,1872522
0.923854,0,0,1870565
0.925400,0,0,1873229
0.926947,0,0,1872353
0.928495,0,0,1875553
0.929954,0,0,1766162
0.931499,0,0,1871684
0.932948,0,0,1747363
0.934532,0,0,1926180
0.936078,0,0,1876262
0.937629,0,0,1872083
0.939173,0,0,1870901
0.940735,0,0,1893323
0.942283,0,0,1872819
0.943828,0,0,1871481
0.945375,0,0,1874393
0.946922,0,0,1872403
0.948471,0,0,1876359
0.950061,0,0,1925043
0.951620,0,0,1888590
0.953169,0,0,1876168
0.954716,0,0,1872811
0.956261,0,0,1878344
0.957814,0,0,1871890
0.959358,0,0,1870763
0.960906,0,0,1876867
0.962467,0,0,1889558
0.964013,0,0,1870641
0.965632,0,0,2015515
0.967224,0,0,1873197
0.968772,0,0,1876753
0.970319,0,0,1870308
0.971862,0,0,1870587
0.973422,0,0,1884293
0.974959,0,0,1859227
0.976545,0,0,1901664
0.977945,0,0,1737122
0.979367,0,0,1675242
0.980880,0,0,1862091
0.982470,0,0,1925266
0.984027,0,0,1886483
0.985637,0,0,1947466
0.987179,0,0,1868720
0.988728,0,0,1872900
0.990148,0,0,1703903
0.991668,0,0,1860928
0.993214,0,0,1867460
0.994764,0,0,1875508
0.996298,0,0,1883014
0.997731,0,0,1736346
0.999153,0,0,1668462
1.000514,4,0,1654680
1.002028,23,0,1860656
1.003572,0,0,1871044
1.005133,0,0,1883189
1.006669,0,0,1860653
1.008204,2,0,1915162
1.009791,0,0,1868534
1.011241,0,0,1766405
1.013059,0,0,2183584
1.014505,0,0,1733455
