elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.410679,0,0,0,0,0,0,0,0,0,0,0,0
0.412271,0,0,0,0,0,0,0,0,0,0,0,0
0.413866,0,0,0,0,0,0,0,0,0,0,0,0
0.415459,0,0,0,0,0,0,0,0,0,0,0,0
0.417050,0,0,0,0,0,0,0,0,0,0,0,0
0.418659,0,0,0,0,0,0,0,0,0,0,0,0
0.420251,0,0,0,0,0,0,0,0,0,0,0,0
0.421890,0,0,0,0,0,0,0,0,0,0,0,0
0.423483,0,0,0,0,0,0,0,0,0,0,0,0
0.425074,0,0,0,0,0,0,0,0,0,0,0,0
0.426671,0,0,0,0,0,0,0,0,0,0,0,0
0.428263,0,0,0,0,0,0,0,0,0,0,0,0
0.429871,0,0,0,0,0,0,0,0,0,0,0,0
0.431464,0,0,0,0,0,0,0,0,0,0,0,0
0.433055,0,0,0,0,0,0,0,0,0,0,0,0
0.434652,0,0,0,0,0,0,0,0,0,0,0,0
0.436243,0,0,0,0,0,0,0,0,0,0,0,0
0.437882,0,0,0,0,0,0,0,0,0,0,0,0
0.439475,0,0,0,0,0,0,0,0,0,0,0,0
0.441079,0,0,0,0,0,0,0,0,0,0,0,0
0.442675,0,0,0,0,0,0,0,0,0,0,0,0
0.444266,0,0,0,0,0,0,0,0,0,0,0,0
0.445861,0,0,0,0,0,0,0,0,0,0,0,0
0.447452,0,0,0,0,0,0,0,0,0,0,0,0
0.449045,0,0,0,0,0,0,0,0,0,0,0,0
0.450640,0,0,0,0,0,0,0,0,0,0,0,0
0.452265,0,0,0,0,0,0,0,0,0,0,0,0
0.453908,0,0,0,0,0,0,0,0,0,0,0,0
0.455503,0,0,0,0,0,0,0,0,0,0,0,0
0.457094,0,0,0,0,0,0,0,0,0,0,0,0
0.458580,0,0,0,0,0,0,0,0,0,0,0,0
0.460015,0,0,0,0,0,0,0,0,0,0,0,0
0.461575,0,0,0,0,0,0,0,0,0,0,0,0
0.463181,0,0,0,0,0,0,0,0,0,0,0,0
0.464772,0,0,0,0,0,0,0,0,0,0,0,0
0.466420,0,0,0,0,0,0,0,0,0,0,0,0
0.468011,0,0,0,0,0,0,0,0,0,0,0,0
0.469649,0,0,0,0,0,0,0,0,0,0,0,0
0.471244,0,0,0,0,0,0,0,0,0,0,0,0
0.472834,0,0,0,0,0,0,0,0,0,0,0,0
0.474514,0,0,0,0,0,0,0,0,0,0,0,0
0.476105,0,0,0,0,0,0,0,0,0,0,0,0
0.477699,0,0,0,0,0,0,0,0,0,0,0,0
0.479292,0,0,0,0,0,0,0,0,0,0,0,0
0.480884,0,0,0,0,0,0,0,0,0,0,0,0
0.482481,0,0,0,0,0,0,0,0,0,0,0,0
0.483953,0,0,0,0,0,0,0,0,0,0,0,0
0.485580,0,0,0,0,0,0,0,0,0,0,0,0
0.487176,0,0,0,0,0,0,0,0,0,0,0,0
0.488769,0,0,0,0,0,0,0,0,0,0,0,0
0.490425,0,0,0,0,0,0,0,0,0,0,0,0
0.492019,0,0,0,0,0,0,0,0,0,0,0,0
0.493616,0,0,0,0,0,0,0,0,0,0,0,0
0.495212,0,0,0,0,0,0,0,0,0,0,0,0
0.496818,0,0,0,0,0,0,0,0,0,0,0,0
0.498352,0,0,0,0,0,0,0,0,0,0,0,0
0.499917,0,0,0,0,0,0,0,0,0,0,0,0
0.501514,0,0,0,0,0,0,0,0,0,0,0,0
0.503111,0,0,0,0,0,0,0,0,0,0,0,0
0.504704,0,0,0,0,0,0,0,0,0,0,0,0
0.506299,0,0,0,0,0,0,0,0,0,0,0,0
0.507785,0,0,0,0,0,0,0,0,0,0,0,0
0.509353,0,0,0,0,0,0,0,0,0,0,0,0
0.510949,0,0,0,0,0,0,0,0,0,0,0,0
0.512543,0,0,0,0,0,0,0,0,0,0,0,0
0.514137,0,0,0,0,0,0,0,0,0,0,0,0
0.516458,0,0,0,0,0,0,0,0,0,0,0,0
0.517957,0,0,0,0,0,0,0,0,0,0,0,0
0.519424,0,0,0,0,0,0,0,0,0,0,0,0
0.520856,0,0,0,0,0,0,0,0,0,0,0,0
0.522332,0,0,0,0,0,0,0,0,0,0,0,0
0.523761,0,0,0,0,0,0,0,0,0,0,0,0
0.525190,0,0,0,0,0,0,0,0,0,0,0,0
0.526746,0,0,0,0,0,0,0,0,0,0,0,0
0.528350,0,0,0,0,0,0,0,0,0,0,0,0
0.529945,0,0,0,0,0,0,0,0,0,0,0,0
0.531538,0,0,0,0,0,0,0,0,0,0,0,0
0.533196,0,0,0,0,0,0,0,0,0,0,0,0
0.535865,0,0,0,0,0,0,0,0,0,0,0,0
0.537514,0,0,0,0,0,0,0,0,0,0,0,0
0.538984,0,0,0,0,0,0,0,0,0,0,0,0
0.540416,0,0,0,0,0,0,0,0,0,0,0,0
0.541842,0,0,0,0,0,0,0,0,0,0,0,0
0.543425,0,0,0,0,0,0,0,0,0,0,0,0
0.544977,0,0,0,0,0,0,0,0,0,0,0,0
0.546394,0,0,0,0,0,0,0,0,0,0,0,0
0.547827,0,0,0,0,0,0,0,0,0,0,0,0
0.549688,0,0,0,0,0,0,0,0,0,0,0,0
0.551264,0,0,0,0,0,0,0,0,0,0,0,0
0.552696,0,0,0,0,0,0,0,0,0,0,0,0
0.554126,0,0,0,0,0,0,0,0,0,0,0,0
0.555555,0,0,0,0,0,0,0,0,0,0,0,0
0.556983,0,0,0,0,0,0,0,0,0,0,0,0
