elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.348152,0,0,0,0,0,0,0,0,0,0,0,0
0.349750,0,0,0,0,0,0,0,0,0,0,0,0
0.351345,0,0,0,0,0,0,0,0,0,0,0,0
0.352983,0,0,0,0,0,0,0,0,0,0,0,0
0.354575,0,0,0,0,0,0,0,0,0,0,0,0
0.356170,0,0,0,0,0,0,0,0,0,0,0,0
0.357778,0,0,0,0,0,0,0,0,0,0,0,0
0.359374,0,0,0,0,0,0,0,0,0,0,0,0
0.361011,0,0,0,0,0,0,0,0,0,0,0,0
0.362604,0,0,0,0,0,0,0,0,0,0,0,0
0.364199,0,0,0,0,0,0,0,0,0,0,0,0
0.365792,0,0,0,0,0,0,0,0,0,0,0,0
0.367521,0,0,0,0,0,0,0,0,0,0,0,0
0.369042,0,0,0,0,0,0,0,0,0,0,0,0
0.370484,0,0,0,0,0,0,0,0,0,0,0,0
0.372042,0,0,0,0,0,0,0,0,0,0,0,0
0.373636,0,0,0,0,0,0,0,0,0,0,0,0
0.375232,0,0,0,0,0,0,0,0,0,0,0,0
0.376824,0,0,0,0,0,0,0,0,0,0,0,0
0.378416,0,0,0,0,0,0,0,0,0,0,0,0
0.380023,0,0,0,0,0,0,0,0,0,0,0,0
0.381618,0,0,0,0,0,0,0,0,0,0,0,0
0.383279,0,0,0,0,0,0,0,0,0,0,0,0
0.384980,0,0,0,0,0,0,0,0,0,0,0,0
0.386572,0,0,0,0,0,0,0,0,0,0,0,0
0.388167,0,0,0,0,0,0,0,0,0,0,0,0
0.389762,0,0,0,0,0,0,0,0,0,0,0,0
0.391371,0,0,0,0,0,0,0,0,0,0,0,0
0.393010,0,0,0,0,0,0,0,0,0,0,0,0
0.394602,0,0,0,0,0,0,0,0,0,0,0,0
0.396197,0,0,0,0,0,0,0,0,0,0,0,0
0.397791,0,0,0,0,0,0,0,0,0,0,0,0
0.399387,0,0,0,0,0,0,0,0,0,0,0,0
0.401023,0,0,0,0,0,0,0,0,0,0,0,0
0.402630,0,0,0,0,0,0,0,0,0,0,0,0
0.404225,0,0,0,0,0,0,0,0,0,0,0,0
0.405820,0,0,0,0,0,0,0,0,0,0,0,0
0.407417,0,0,0,0,0,0,0,0,0,0,0,0
0.409012,0,0,0,0,0,0,0,0,0,0,0,0
0.410605,0,0,0,0,0,0,0,0,0,0,0,0
0.412198,0,0,0,0,0,0,0,0,0,0,0,0
0.413807,0,0,0,0,0,0,0,0,0,0,0,0
0.415402,0,0,0,0,0,0,0,0,0,0,0,0
0.416997,0,0,0,0,0,0,0,0,0,0,0,0
0.418589,0,0,0,0,0,0,0,0,0,0,0,0
0.420184,0,0,0,0,0,0,0,0,0,0,0,0
0.421777,0,0,0,0,0,0,0,0,0,0,0,0
0.423371,0,0,0,0,0,0,0,0,0,0,0,0
0.424898,0,0,0,0,0,0,0,0,0,0,0,0
0.426459,0,0,0,0,0,0,0,0,0,0,0,0
0.428052,0,0,0,0,0,0,0,0,0,0,0,0
0.429643,0,0,0,0,0,0,0,0,0,0,0,0
0.431238,0,0,0,0,0,0,0,0,0,0,0,0
0.432830,0,0,0,0,0,0,0,0,0,0,0,0
0.434422,0,0,0,0,0,0,0,0,0,0,0,0
0.436028,0,0,0,0,0,0,0,0,0,0,0,0
0.437621,0,0,0,0,0,0,0,0,0,0,0,0
0.439215,0,0,0,0,0,0,0,0,0,0,0,0
0.440808,0,0,0,0,0,0,0,0,0,0,0,0
0.442398,0,0,0,0,0,0,0,0,0,0,0,0
0.443992,0,0,0,0,0,0,0,0,0,0,0,0
0.445584,0,0,0,0,0,0,0,0,0,0,0,0
0.447283,0,0,0,0,0,0,0,0,0,0,0,0
0.448908,0,0,0,0,0,0,0,0,0,0,0,0
