elapsed_s,TP_RESERVED_72,TP_RESERVED_73,TP_RESERVED_74,TP_RESERVED_75,TP_RESERVED_76,TP_RESERVED_77,TP_RESERVED_78,TP_RESERVED_79,TP_RESERVED_80,TP_RESERVED_81,TP_RESERVED_82,TP_RESERVED_83
0.171046,0,0,0,0,0,0,0,0,0,0,0,0
0.172640,0,0,0,0,0,0,0,0,0,0,0,0
0.174240,0,0,0,0,0,0,0,0,0,0,0,0
0.175833,0,0,0,0,0,0,0,0,0,0,0,0
0.177473,0,0,0,0,0,0,0,0,0,0,0,0
0.179083,0,0,0,0,0,0,0,0,0,0,0,0
0.180677,0,0,0,0,0,0,0,0,0,0,0,0
0.182268,0,0,0,0,0,0,0,0,0,0,0,0
0.183724,0,0,0,0,0,0,0,0,0,0,0,0
0.185161,0,0,0,0,0,0,0,0,0,0,0,0
0.186635,0,0,0,0,0,0,0,0,0,0,0,0
0.188060,0,0,0,0,0,0,0,0,0,0,0,0
0.189496,0,0,0,0,0,0,0,0,0,0,0,0
0.191141,0,0,0,0,0,0,0,0,0,0,0,0
0.192733,0,0,0,0,0,0,0,0,0,0,0,0
0.194333,0,0,0,0,0,0,0,0,0,0,0,0
0.195926,0,0,0,0,0,0,0,0,0,0,0,0
0.197519,0,0,0,0,0,0,0,0,0,0,0,0
0.198990,0,0,0,0,0,0,0,0,0,0,0,0
0.200564,0,0,0,0,0,0,0,0,0,0,0,0
0.202175,0,0,0,0,0,0,0,0,0,0,0,0
0.203612,0,0,0,0,0,0,0,0,0,0,0,0
0.205047,0,0,0,0,0,0,0,0,0,0,0,0
0.206479,0,0,0,0,0,0,0,0,0,0,0,0
0.207908,0,0,0,0,0,0,0,0,0,0,0,0
0.209381,0,0,0,0,0,0,0,0,0,0,0,0
0.210957,0,0,0,0,0,0,0,0,0,0,0,0
0.212550,0,0,0,0,0,0,0,0,0,0,0,0
0.214199,0,0,0,0,0,0,0,0,0,0,0,0
0.215793,0,0,0,0,0,0,0,0,0,0,0,0
0.217388,0,0,0,0,0,0,0,0,0,0,0,0
0.218983,0,0,0,0,0,0,0,0,0,0,0,0
0.220576,0,0,0,0,0,0,0,0,0,0,0,0
0.222184,0,0,0,0,0,0,0,0,0,0,0,0
