elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.162908,0,0,0,0,0,0,0,0
0.164444,0,0,0,0,0,0,0,0
0.166019,0,0,0,0,0,0,0,0
0.167591,0,0,0,0,0,0,0,0
0.169161,0,0,0,0,0,0,0,0
0.170735,0,0,0,0,0,0,0,0
0.172307,0,0,0,0,0,0,0,0
0.173892,0,0,0,0,0,0,0,0
0.175470,0,0,0,0,0,0,0,0
0.177040,0,0,0,0,0,0,0,0
0.178614,0,0,0,0,0,0,0,0
0.180186,0,0,0,0,0,0,0,0
0.181756,0,0,0,0,0,0,0,0
0.183333,0,0,0,0,0,0,0,0
0.184917,0,0,0,0,0,0,0,0
0.186491,0,0,0,0,0,0,0,0
0.188064,0,0,0,0,0,0,0,0
0.189634,0,0,0,0,0,0,0,0
0.191161,0,0,0,0,0,0,0,0
0.192703,0,0,0,0,0,0,0,0
0.194276,0,0,0,0,0,0,0,0
0.195861,0,0,0,0,0,0,0,0
0.197431,0,0,0,0,0,0,0,0
0.199045,0,0,0,0,0,0,0,0
0.200618,0,0,0,0,0,0,0,0
0.202191,0,0,0,0,0,0,0,0
0.203764,0,0,0,0,0,0,0,0
0.205335,0,0,0,0,0,0,0,0
0.206964,0,0,0,0,0,0,0,0
0.208536,0,0,0,0,0,0,0,0
0.210109,0,0,0,0,0,0,0,0
0.211679,0,0,0,0,0,0,0,0
0.213249,0,0,0,0,0,0,0,0
0.214866,0,0,0,0,0,0,0,0
0.216439,0,0,0,0,0,0,0,0
0.218026,0,0,0,0,0,0,0,0
0.219590,0,0,0,0,0,0,0,0
0.221150,0,0,0,0,0,0,0,0
0.222632,0,0,0,0,0,0,0,0
0.224175,0,0,0,0,0,0,0,0
0.225746,0,0,0,0,0,0,0,0
0.227321,0,0,0,0,0,0,0,0
0.228781,0,0,0,0,0,0,0,0
0.230326,0,0,0,0,0,0,0,0
