elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.799770,0,0,0,0
0.801125,0,0,0,0
0.802478,0,0,0,0
0.803831,0,0,0,0
0.805184,0,0,0,0
0.806546,0,0,0,0
0.807902,0,0,0,0
0.809256,0,0,0,0
0.810610,0,0,0,0
0.811964,0,0,0,0
0.813320,0,0,0,0
0.814711,0,0,0,0
0.816052,0,0,0,0
0.817461,0,0,0,0
0.818803,0,0,0,0
0.820143,0,0,0,0
0.821564,0,0,0,0
0.822902,0,0,0,0
0.824264,0,0,0,0
0.825806,0,0,0,0
0.827162,0,0,0,0
0.828505,0,0,0,0
0.829874,0,0,0,0
0.831285,0,0,0,0
0.832588,0,0,0,0
0.833892,0,0,0,0
0.835303,0,0,0,0
0.836713,0,0,0,0
0.838122,0,0,0,0
0.839537,0,0,0,0
0.840949,0,0,0,0
0.842361,0,0,0,0
0.843772,0,0,0,0
0.845075,0,0,0,0
0.846484,0,0,0,0
0.847786,0,0,0,0
0.851207,0,0,0,0
0.852649,0,0,0,0
0.854292,24,0,0,0
0.855677,0,0,0,0
0.857059,0,0,0,0
0.858438,0,0,0,0
0.859818,0,0,0,0
0.861201,0,0,0,0
0.862622,0,0,0,0
0.864036,168,0,0,0
0.866113,0,0,0,0
0.867501,0,0,0,0
0.868885,0,0,0,0
0.870272,0,0,0,0
0.871656,0,0,0,0
0.874416,0,0,0,0
0.876469,0,0,0,0
0.878026,0,0,0,0
0.879618,0,0,0,0
0.881079,0,0,0,0
0.882460,0,0,0,0
0.883841,0,0,0,0
0.885221,0,0,0,0
0.886614,0,0,0,0
0.887993,0,0,0,0
0.889482,0,0,0,0
0.890859,0,0,0,0
0.892250,0,0,0,0
0.893626,0,0,0,0
0.895054,0,0,0,0
0.896557,0,0,0,0
0.898025,0,0,0,0
0.899404,0,0,0,0
0.900786,0,0,0,0
0.902304,0,0,0,0
0.903855,0,0,0,0
0.905406,0,0,0,0
0.906958,0,0,0,0
0.908522,0,0,0,0
0.910119,0,0,0,0
0.911670,0,0,0,0
0.913222,0,0,0,0
0.914775,0,0,0,0
0.916329,0,0,0,0
0.917872,0,0,0,0
0.919426,0,0,0,0
0.920891,0,0,0,0
0.922345,0,0,0,0
0.923805,0,0,0,0
0.925188,0,0,0,0
0.926617,0,0,0,0
0.928003,0,0,0,0
0.931086,0,0,0,0
0.932606,0,0,0,0
0.934157,0,0,0,0
0.935708,0,0,0,0
0.937260,0,0,0,0
0.938812,0,0,0,0
0.940377,0,0,0,0
0.941973,0,0,0,0
0.943523,0,0,0,0
0.945078,0,0,0,0
0.946630,0,0,0,0
0.948180,0,0,0,0
0.949737,0,0,0,0
0.951301,0,0,0,0
0.952855,0,0,0,0
0.954408,0,0,0,0
0.955958,0,0,0,0
0.957465,0,0,0,0
0.958980,0,0,0,0
0.960474,0,0,0,0
0.962041,0,0,0,0
0.963591,0,0,0,0
0.965146,0,0,0,0
0.966697,0,0,0,0
0.968247,0,0,0,0
0.969801,0,0,0,0
0.971351,0,0,0,0
0.972916,0,0,0,0
0.974511,0,0,0,0
0.976062,0,0,0,0
0.977619,0,0,0,0
0.979169,0,0,0,0
0.980723,0,0,0,0
0.982275,0,0,0,0
0.983840,0,0,0,0
0.985391,0,0,0,0
0.986833,0,0,0,0
0.988382,0,0,0,0
0.989981,0,0,0,0
0.991532,0,0,0,0
0.993086,0,0,0,0
0.994652,0,0,0,0
0.996202,0,0,0,0
0.997754,0,0,0,0
0.999296,0,0,0,0
1.000727,0,0,0,0
1.002248,0,0,0,0
1.003796,0,0,0,0
1.005357,0,0,0,0
1.006908,0,0,0,0
1.008460,0,0,0,0
1.010010,0,0,0,0
1.011558,0,0,0,0
1.012986,0,0,0,0
1.014509,0,0,0,0
1.016073,0,0,0,0
1.017628,0,0,0,0
1.019177,0,0,0,0
1.020729,0,0,0,0
1.022321,0,0,0,0
1.023744,0,0,0,0
1.025139,0,0,0,0
1.026537,0,0,0,0
1.027922,0,0,0,0
1.029308,0,0,0,0
1.030693,0,0,0,0
1.032077,0,0,0,0
1.033676,0,0,0,0
1.035226,0,0,0,0
1.036793,0,0,0,0
1.038388,0,0,0,0
1.039940,0,0,0,0
1.041362,0,0,0,0
1.042882,0,0,0,0
1.044436,0,0,0,0
1.045989,0,0,0,0
1.047551,0,0,0,0
1.049106,0,0,0,0
1.050658,0,0,0,0
1.052208,0,0,0,0
1.053765,0,0,0,0
1.055362,0,0,0,0
1.056916,0,0,0,0
1.058483,0,0,0,0
1.060034,0,0,0,0
1.061590,0,0,0,0
1.063141,0,0,0,0
1.064696,0,0,0,0
1.066248,0,0,0,0
1.067798,0,0,0,0
1.069362,0,0,0,0
1.070915,0,0,0,0
1.072470,0,0,0,0
1.074021,0,0,0,0
1.075571,0,0,0,0
1.077126,0,0,0,0
1.078680,0,0,0,0
1.080244,0,0,0,0
1.081797,0,0,0,0
1.083348,0,0,0,0
