elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.729227,0,0,0,0
0.730775,0,0,0,0
0.732268,0,0,0,0
0.733785,0,0,0,0
0.735215,0,0,0,0
0.736738,0,0,0,0
0.738287,0,0,0,0
0.739835,0,0,0,0
0.741386,0,0,0,0
0.742952,0,0,0,0
0.744502,0,0,0,0
0.746050,0,0,0,0
0.747601,0,0,0,0
0.749150,0,0,0,0
0.750698,0,0,0,0
0.752254,0,0,0,0
0.753730,0,0,0,0
0.755135,0,0,0,0
0.756568,0,0,0,0
0.757956,0,0,0,0
0.759344,0,0,0,0
0.760730,0,0,0,0
0.762115,0,0,0,0
0.763630,0,0,0,0
0.765194,0,0,0,0
0.766744,0,0,0,0
0.768374,0,0,0,0
0.769923,0,0,0,0
0.771476,0,0,0,0
0.773070,0,0,0,0
0.774619,0,0,0,0
0.776072,0,0,0,0
0.777593,0,0,0,0
0.779146,0,0,0,0
0.780697,0,0,0,0
0.782247,0,0,0,0
0.783798,0,0,0,0
0.785348,0,0,0,0
0.786912,0,0,0,0
0.788507,0,0,0,0
0.790057,0,0,0,0
0.791639,0,0,0,0
0.793040,0,0,0,0
0.794429,0,0,0,0
0.795814,0,0,0,0
0.797204,0,0,0,0
0.798582,0,0,0,0
0.799986,0,0,0,0
0.801364,0,0,0,0
0.802821,0,0,0,0
0.804206,0,0,0,0
0.805625,0,0,0,0
0.807003,0,0,0,0
0.808872,0,0,0,0
0.810494,0,0,0,0
0.812010,0,0,0,0
0.813388,0,0,0,0
0.814764,0,0,0,0
0.816141,0,0,0,0
0.817519,0,0,0,0
0.818905,0,0,0,0
0.820282,0,0,0,0
0.821637,0,0,0,0
0.822991,0,0,0,0
0.824344,0,0,0,0
0.825697,0,0,0,0
0.827051,0,0,0,0
0.828405,0,0,0,0
0.829765,0,0,0,0
0.831124,0,0,0,0
0.832482,0,0,0,0
0.833838,0,0,0,0
0.835192,0,0,0,0
0.836584,0,0,0,0
0.837998,0,0,0,0
0.839406,0,0,0,0
0.840823,0,0,0,0
0.842232,0,0,0,0
0.843643,0,0,0,0
0.845055,0,0,0,0
0.846467,0,0,0,0
0.847769,0,0,0,0
0.849178,0,0,0,0
0.850480,0,0,0,0
0.851904,0,0,0,0
0.853314,0,0,0,0
0.854615,0,0,0,0
0.856046,0,0,0,0
0.857432,0,0,0,0
0.858890,0,0,0,0
0.860295,0,0,0,0
0.861681,0,0,0,0
0.863115,0,0,0,0
0.864499,0,0,0,0
0.865883,0,0,0,0
0.867268,0,0,0,0
0.868692,0,0,0,0
0.870075,0,0,0,0
0.871454,0,0,0,0
0.872837,0,0,0,0
0.874082,0,0,0,0
0.875468,0,0,0,0
0.876854,0,0,0,0
0.878239,0,0,0,0
0.879624,0,0,0,0
0.881008,0,0,0,0
0.882391,0,0,0,0
0.883915,0,0,0,0
0.885664,0,0,0,0
0.887481,0,0,0,0
0.888861,0,0,0,0
0.890242,0,0,0,0
0.894845,0,0,0,0
0.896242,0,0,0,0
0.897631,0,0,0,0
0.899107,0,0,0,0
0.900532,0,0,0,0
0.901912,0,0,0,0
0.903423,0,0,0,0
0.904817,0,0,0,0
0.906160,0,0,0,0
0.907514,0,0,0,0
0.908853,0,0,0,0
0.910190,0,0,0,0
0.911528,0,0,0,0
0.912865,0,0,0,0
0.914200,0,0,0,0
0.915539,0,0,0,0
0.917012,0,0,0,0
0.918589,0,0,0,0
0.920145,0,0,0,0
0.921697,0,0,0,0
0.923250,0,0,0,0
0.924793,0,0,0,0
0.926333,0,0,0,0
0.927752,0,0,0,0
0.929285,0,0,0,0
0.930839,0,0,0,0
0.932434,0,0,0,0
0.933985,0,0,0,0
0.935539,0,0,0,0
0.937091,0,0,0,0
0.938643,0,0,0,0
0.940087,0,0,0,0
0.941609,0,0,0,0
0.943162,0,0,0,0
0.944714,0,0,0,0
0.946265,0,0,0,0
0.947818,0,0,0,0
0.949371,0,0,0,0
0.950937,0,0,0,0
0.952489,0,0,0,0
0.954040,0,0,0,0
0.955594,0,0,0,0
