elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.476685,0,0,0,0,0,0,0,0
0.478261,0,0,0,0,0,0,0,0
0.479825,0,0,0,0,0,0,0,0
0.481390,0,0,0,0,0,0,0,0
0.482884,0,0,0,0,0,0,0,0
0.484428,0,0,0,0,0,0,0,0
0.486002,0,0,0,0,0,0,0,0
0.487587,0,0,0,0,0,0,0,0
0.489157,0,0,0,0,0,0,0,0
0.490731,0,0,0,0,0,0,0,0
0.492304,0,0,0,0,0,0,0,0
0.493920,0,0,0,0,0,0,0,0
0.495491,0,0,0,0,0,0,0,0
0.497167,0,0,0,0,0,0,0,0
0.498664,0,0,0,0,0,0,0,0
0.500215,0,0,0,0,0,0,0,0
0.501790,0,0,0,0,0,0,0,0
0.503365,0,0,0,0,0,0,0,0
0.504937,0,0,0,0,0,0,0,0
0.506512,0,0,0,0,0,0,0,0
0.508087,0,0,0,0,0,0,0,0
0.509676,0,0,0,0,0,0,0,0
0.511241,0,0,0,0,0,0,0,0
0.512804,0,0,0,0,0,0,0,0
0.514245,0,0,0,0,0,0,0,0
0.515830,0,0,0,0,0,0,0,0
0.517403,0,0,0,0,0,0,0,0
0.518979,0,0,0,0,0,0,0,0
0.520561,0,0,0,0,0,0,0,0
0.522011,0,0,0,0,0,0,0,0
0.523561,0,0,0,0,0,0,0,0
0.525133,0,0,0,0,0,0,0,0
0.526705,0,0,0,0,0,0,0,0
0.528278,0,0,0,0,0,0,0,0
0.529854,0,0,0,0,0,0,0,0
0.531440,0,0,0,0,0,0,0,0
0.533010,0,0,0,0,0,0,0,0
0.534582,0,0,0,0,0,0,0,0
0.536155,0,0,0,0,0,0,0,0
0.537772,0,0,0,0,0,0,0,0
0.539344,0,0,0,0,0,0,0,0
0.540915,0,0,0,0,0,0,0,0
0.542501,0,0,0,0,0,0,0,0
0.544073,0,0,0,0,0,0,0,0
0.545648,0,0,0,0,0,0,0,0
0.547221,0,0,0,0,0,0,0,0
0.548791,0,0,0,0,0,0,0,0
0.550365,0,0,0,0,0,0,0,0
0.551937,0,0,0,0,0,0,0,0
0.553521,0,0,0,0,0,0,0,0
0.555008,0,0,0,0,0,0,0,0
0.556550,0,0,0,0,0,0,0,0
0.558124,0,0,0,0,0,0,0,0
0.559697,0,0,0,0,0,0,0,0
0.561266,0,0,0,0,0,0,0,0
0.562775,0,0,0,0,0,0,0,0
0.564327,0,0,0,0,0,0,0,0
0.565901,0,0,0,0,0,0,0,0
0.567475,0,0,0,0,0,0,0,0
0.569044,0,0,0,0,0,0,0,0
0.570618,0,0,0,0,0,0,0,0
0.572191,0,0,0,0,0,0,0,0
0.573765,0,0,0,0,0,0,0,0
0.575351,0,0,0,0,0,0,0,0
0.576922,0,0,0,0,0,0,0,0
0.578495,0,0,0,0,0,0,0,0
0.580067,0,0,0,0,0,0,0,0
0.581642,0,0,0,0,0,0,0,0
0.583214,0,0,0,0,0,0,0,0
0.584784,0,0,0,0,0,0,0,0
0.586372,0,0,0,0,0,0,0,0
0.587945,0,0,0,0,0,0,0,0
0.589517,0,0,0,0,0,0,0,0
0.591134,0,0,0,0,0,0,0,0
0.592705,0,0,0,0,0,0,0,0
