elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.530297,0,0,0,0,0,0,0,0,0,0,0,0
0.531681,0,0,0,0,0,0,0,0,0,0,0,0
0.533065,0,0,0,0,0,0,0,0,0,0,0,0
0.534451,0,0,0,0,0,0,0,0,0,0,0,0
0.535832,0,0,0,0,0,0,0,0,0,0,0,0
0.537215,0,0,0,0,0,0,0,0,0,0,0,0
0.538609,0,0,0,0,0,0,0,0,0,0,0,0
0.540122,0,0,0,0,0,0,0,0,0,0,0,0
0.541732,0,0,0,0,0,0,0,0,0,0,0,0
0.543324,0,0,0,0,0,0,0,0,0,0,0,0
0.544919,0,0,0,0,0,0,0,0,0,0,0,0
0.546512,0,0,0,0,0,0,0,0,0,0,0,0
0.548105,0,0,0,0,0,0,0,0,0,0,0,0
0.549595,0,0,0,0,0,0,0,0,0,0,0,0
0.551030,0,0,0,0,0,0,0,0,0,0,0,0
0.552463,0,0,0,0,0,0,0,0,0,0,0,0
0.553934,0,0,0,0,0,0,0,0,0,0,0,0
0.555405,0,0,0,0,0,0,0,0,0,0,0,0
0.556837,0,0,0,0,0,0,0,0,0,0,0,0
0.558467,0,0,0,0,0,0,0,0,0,0,0,0
0.560072,0,0,0,0,0,0,0,0,0,0,0,0
0.561547,0,0,0,0,0,0,0,0,0,0,0,0
0.563115,0,0,0,0,0,0,0,0,0,0,0,0
0.564710,0,0,0,0,0,0,0,0,0,0,0,0
0.566305,0,0,0,0,0,0,0,0,0,0,0,0
0.567897,0,0,0,0,0,0,0,0,0,0,0,0
0.569489,0,0,0,0,0,0,0,0,0,0,0,0
0.571094,0,0,0,0,0,0,0,0,0,0,0,0
0.572732,0,0,0,0,0,0,0,0,0,0,0,0
0.574326,0,0,0,0,0,0,0,0,0,0,0,0
0.575919,0,0,0,0,0,0,0,0,0,0,0,0
0.577512,0,0,0,0,0,0,0,0,0,0,0,0
0.579106,0,0,0,0,0,0,0,0,0,0,0,0
0.580702,0,0,0,0,0,0,0,0,0,0,0,0
0.582308,0,0,0,0,0,0,0,0,0,0,0,0
0.583901,0,0,0,0,0,0,0,0,0,0,0,0
0.585493,0,0,0,0,0,0,0,0,0,0,0,0
0.587095,0,0,0,0,0,0,0,0,0,0,0,0
0.588792,0,0,0,0,0,0,0,0,0,0,0,0
0.590273,0,0,0,0,0,0,0,0,0,0,0,0
0.591700,0,0,0,0,0,0,0,0,0,0,0,0
0.593138,0,0,0,0,0,0,0,0,0,0,0,0
0.594570,0,0,0,0,0,0,0,0,0,0,0,0
0.595999,0,0,0,0,0,0,0,0,0,0,0,0
0.597469,0,0,0,0,0,0,0,0,0,0,0,0
0.599063,0,0,0,0,0,0,0,0,0,0,0,0
0.600656,0,0,0,0,0,0,0,0,0,0,0,0
0.602148,0,0,0,0,0,0,0,0,0,0,0,0
0.603649,0,0,0,0,0,0,0,0,0,0,0,0
0.605087,0,0,0,0,0,0,0,0,0,0,0,0
0.606510,0,0,0,0,0,0,0,0,0,0,0,0
0.607933,0,0,0,0,0,0,0,0,0,0,0,0
0.609354,0,0,0,0,0,0,0,0,0,0,0,0
0.610785,0,0,0,0,0,0,0,0,0,0,0,0
0.612298,0,0,0,0,0,0,0,0,0,0,0,0
0.613715,0,0,0,0,0,0,0,0,0,0,0,0
0.615138,0,0,0,0,0,0,0,0,0,0,0,0
0.616559,0,0,0,0,0,0,0,0,0,0,0,0
0.617980,0,0,0,0,0,0,0,0,0,0,0,0
0.619451,0,0,0,0,0,0,0,0,0,0,0,0
0.620846,0,0,0,0,0,0,0,0,0,0,0,0
0.622240,0,0,0,0,0,0,0,0,0,0,0,0
0.623633,0,0,0,0,0,0,0,0,0,0,0,0
0.625033,0,0,0,0,0,0,0,0,0,0,0,0
0.626427,0,0,0,0,0,0,0,0,0,0,0,0
0.627820,0,0,0,0,0,0,0,0,0,0,0,0
0.629215,0,0,0,0,0,0,0,0,0,0,0,0
0.630608,0,0,0,0,0,0,0,0,0,0,0,0
0.632000,0,0,0,0,0,0,0,0,0,0,0,0
0.633394,0,0,0,0,0,0,0,0,0,0,0,0
0.634788,0,0,0,0,0,0,0,0,0,0,0,0
0.636222,0,0,0,0,0,0,0,0,0,0,0,0
0.637579,0,0,0,0,0,0,0,0,0,0,0,0
0.638975,0,0,0,0,0,0,0,0,0,0,0,0
0.640259,0,0,0,0,0,0,0,0,0,0,0,0
0.641659,0,0,0,0,0,0,0,0,0,0,0,0
0.643051,0,0,0,0,0,0,0,0,0,0,0,0
0.644443,0,0,0,0,0,0,0,0,0,0,0,0
0.645837,0,0,0,0,0,0,0,0,0,0,0,0
0.647233,0,0,0,0,0,0,0,0,0,0,0,0
0.648624,0,0,0,0,0,0,0,0,0,0,0,0
0.650020,0,0,0,0,0,0,0,0,0,0,0,0
0.651475,0,0,0,0,0,0,0,0,0,0,0,0
0.652927,0,0,0,0,0,0,0,0,0,0,0,0
