elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.193292,0,0,0,0,0,0,0,0,0,0,0,0
0.194753,0,0,0,0,0,0,0,0,0,0,0,0
0.196268,0,0,0,0,0,0,0,0,0,0,0,0
0.197660,0,0,0,0,0,0,0,0,0,0,0,0
0.199046,0,0,0,0,0,0,0,0,0,0,0,0
0.200439,0,0,0,0,0,0,0,0,0,0,0,0
0.201828,0,0,0,0,0,0,0,0,0,0,0,0
0.203211,0,0,0,0,0,0,0,0,0,0,0,0
0.204590,0,0,0,0,0,0,0,0,0,0,0,0
0.205977,0,0,0,0,0,0,0,0,0,0,0,0
0.207358,0,0,0,0,0,0,0,0,0,0,0,0
0.208738,0,0,0,0,0,0,0,0,0,0,0,0
0.210119,0,0,0,0,0,0,0,0,0,0,0,0
0.211509,0,0,0,0,0,0,0,0,0,0,0,0
0.212967,0,0,0,0,0,0,0,0,0,0,0,0
0.214318,0,0,0,0,0,0,0,0,0,0,0,0
0.215667,0,0,0,0,0,0,0,0,0,0,0,0
0.217018,0,0,0,0,0,0,0,0,0,0,0,0
0.218363,0,0,0,0,0,0,0,0,0,0,0,0
0.219708,0,0,0,0,0,0,0,0,0,0,0,0
0.221105,0,0,0,0,0,0,0,0,0,0,0,0
0.222463,0,0,0,0,0,0,0,0,0,0,0,0
0.223812,0,0,0,0,0,0,0,0,0,0,0,0
0.225209,0,0,0,0,0,0,0,0,0,0,0,0
0.226560,0,0,0,0,0,0,0,0,0,0,0,0
0.227944,0,0,0,0,0,0,0,0,0,0,0,0
0.229341,0,0,0,0,0,0,0,0,0,0,0,0
0.230732,0,0,0,0,0,0,0,0,0,0,0,0
0.232123,0,0,0,0,0,0,0,0,0,0,0,0
0.233566,0,0,0,0,0,0,0,0,0,0,0,0
0.234958,0,0,0,0,0,0,0,0,0,0,0,0
0.236350,0,0,0,0,0,0,0,0,0,0,0,0
0.237749,0,0,0,0,0,0,0,0,0,0,0,0
0.239139,0,0,0,0,0,0,0,0,0,0,0,0
0.240530,0,0,0,0,0,0,0,0,0,0,0,0
0.241927,0,0,0,0,0,0,0,0,0,0,0,0
0.243323,0,0,0,0,0,0,0,0,0,0,0,0
0.244663,0,0,0,0,0,0,0,0,0,0,0,0
0.246076,0,0,0,0,0,0,0,0,0,0,0,0
0.247470,0,0,0,0,0,0,0,0,0,0,0,0
0.248911,0,0,0,0,0,0,0,0,0,0,0,0
0.250302,0,0,0,0,0,0,0,0,0,0,0,0
0.251694,0,0,0,0,0,0,0,0,0,0,0,0
0.253135,0,0,0,0,0,0,0,0,0,0,0,0
0.254525,0,0,0,0,0,0,0,0,0,0,0,0
0.255865,0,0,0,0,0,0,0,0,0,0,0,0
0.257306,0,0,0,0,0,0,0,0,0,0,0,0
0.258697,0,0,0,0,0,0,0,0,0,0,0,0
0.260102,0,0,0,0,0,0,0,0,0,0,0,0
0.261564,0,0,0,0,0,0,0,0,0,0,0,0
0.262941,0,0,0,0,0,0,0,0,0,0,0,0
0.264319,0,0,0,0,0,0,0,0,0,0,0,0
0.265778,0,0,0,0,0,0,0,0,0,0,0,0
0.267235,0,0,0,0,0,0,0,0,0,0,0,0
0.268621,0,131072,32768,0,0,0,0,0,0,32768,0,0
0.269883,0,0,0,0,0,0,0,0,0,0,0,0
0.271271,0,0,0,0,0,0,0,0,0,0,0,0
0.272659,0,0,0,0,0,0,0,0,0,0,0,0
0.274086,0,0,0,0,0,0,0,0,0,0,0,0
0.275473,0,0,0,0,0,0,0,0,0,0,0,0
0.276955,0,0,0,0,0,0,0,0,0,0,0,0
0.278415,0,0,0,0,0,0,0,0,0,0,0,0
0.279846,0,0,0,0,0,0,0,0,0,0,0,0
0.281271,0,0,0,0,0,0,0,0,0,0,0,0
0.282697,0,0,0,0,0,0,0,0,0,0,0,0
0.284121,0,0,0,0,0,0,0,0,0,0,0,0
0.288742,0,0,0,0,0,0,0,0,0,0,0,0
0.290184,0,0,0,0,0,0,0,0,0,0,0,0
0.291665,0,0,0,0,0,0,0,0,0,0,0,0
0.293219,0,0,0,0,0,0,0,0,0,0,0,0
0.294652,0,0,0,0,0,0,0,0,0,0,0,0
0.296040,0,0,0,0,0,0,0,0,0,0,0,0
0.297426,0,0,0,0,0,0,0,0,0,0,0,0
0.298810,0,0,0,0,0,0,0,0,0,0,0,0
0.300208,0,0,0,0,0,0,0,0,0,0,0,0
0.301591,0,0,0,0,0,0,0,0,0,0,0,0
0.302972,0,0,0,0,0,0,0,0,0,0,0,0
0.304353,0,0,0,0,0,0,0,0,0,0,0,0
0.305793,0,0,0,0,0,0,0,0,0,0,0,0
0.307175,0,0,0,0,0,0,0,0,0,0,0,0
0.308606,0,0,0,0,0,0,0,0,0,0,0,0
0.309997,0,0,0,0,0,0,0,0,0,0,0,0
0.311390,0,0,0,0,0,0,0,0,0,0,0,0
0.312771,0,0,0,0,0,0,0,0,0,0,0,0
0.314153,0,0,0,0,0,0,0,0,0,0,0,0
0.315533,0,0,0,0,0,0,0,0,0,0,0,0
0.316916,0,0,0,0,0,0,0,0,0,0,0,0
0.318298,0,0,0,0,0,0,0,0,0,0,0,0
0.319680,0,0,0,0,0,0,0,0,0,0,0,0
0.321064,0,0,0,0,0,0,0,0,0,0,0,0
0.322458,0,0,0,0,0,0,0,0,0,0,0,0
0.323969,0,0,0,0,0,0,0,0,0,0,0,0
0.325577,0,0,0,0,0,0,0,0,0,0,0,0
0.327170,0,0,0,0,0,0,0,0,0,0,0,0
0.328771,0,0,0,0,0,0,0,0,0,0,0,0
0.330362,0,0,0,0,0,0,0,0,0,0,0,0
0.331954,0,0,0,0,0,0,0,0,0,0,0,0
0.333562,0,0,0,0,0,0,0,0,0,0,0,0
0.335156,0,0,0,0,0,0,0,0,0,0,0,0
0.336752,0,0,0,0,0,0,0,0,0,0,0,0
0.338347,0,0,0,0,0,0,0,0,0,0,0,0
0.339983,0,0,0,0,0,0,0,0,0,0,0,0
0.341578,0,0,0,0,0,0,0,0,0,0,0,0
0.343171,0,0,0,0,0,0,0,0,0,0,0,0
0.344782,0,0,0,0,0,0,0,0,0,0,0,0
0.346377,0,0,0,0,0,0,0,0,0,0,0,0
0.347968,0,0,0,0,0,0,0,0,0,0,0,0
0.349563,0,0,0,0,0,0,0,0,0,0,0,0
0.351158,0,0,0,0,0,0,0,0,0,0,0,0
0.352755,0,0,0,0,0,0,0,0,0,0,0,0
0.354349,0,0,0,0,0,0,0,0,0,0,0,0
0.355996,0,0,0,0,0,0,0,0,0,0,0,0
0.357589,0,0,0,0,0,0,0,0,0,0,0,0
0.359183,0,0,0,0,0,0,0,0,0,0,0,0
0.360778,0,0,0,0,0,0,0,0,0,0,0,0
0.362372,0,0,0,0,0,0,0,0,0,0,0,0
0.363967,0,0,0,0,0,0,0,0,0,0,0,0
0.365561,0,0,0,0,0,0,0,0,0,0,0,0
0.367168,0,0,0,0,0,0,0,0,0,0,0,0
0.368764,0,0,0,0,0,0,0,0,0,0,0,0
0.370359,0,0,0,0,0,0,0,0,0,0,0,0
0.371993,0,0,0,0,0,0,0,0,0,0,0,0
0.373587,0,0,0,0,0,0,0,0,0,0,0,0
0.375223,0,0,0,0,0,0,0,0,0,0,0,0
0.376819,0,0,0,0,0,0,0,0,0,0,0,0
0.378427,0,0,0,0,0,0,0,0,0,0,0,0
0.380020,0,0,0,0,0,0,0,0,0,0,0,0
0.381616,0,0,0,0,0,0,0,0,0,0,0,0
0.383085,0,0,0,0,0,0,0,0,0,0,0,0
