elapsed_s,TP_RESERVED_72,TP_RESERVED_73,TP_RESERVED_74,TP_RESERVED_75,TP_RESERVED_76,TP_RESERVED_77,TP_RESERVED_78,TP_RESERVED_79,TP_RESERVED_80,TP_RESERVED_81,TP_RESERVED_82,TP_RESERVED_83
0.081756,0,0,0,0,0,0,0,0,0,0,0,0
0.083190,0,0,0,0,0,0,0,0,0,0,0,0
0.084631,0,0,0,0,0,0,0,0,0,0,0,0
0.086062,0,0,0,0,0,0,0,0,0,0,0,0
0.087538,0,0,0,0,0,0,0,0,0,0,0,0
0.088966,0,0,0,0,0,0,0,0,0,0,0,0
0.090388,0,0,0,0,0,0,0,0,0,0,0,0
0.091810,0,0,0,0,0,0,0,0,0,0,0,0
0.093361,0,0,0,0,0,0,0,0,0,0,0,0
0.096796,0,0,0,0,0,0,0,0,0,0,0,0
0.098224,0,0,0,0,0,0,0,0,0,0,0,0
0.099605,0,0,0,0,0,0,0,0,0,0,0,0
0.100985,0,0,0,0,0,0,0,0,0,0,0,0
0.102372,0,0,0,0,0,0,0,0,0,0,0,0
0.103772,0,0,0,0,0,0,0,0,0,0,0,0
0.105199,0,0,0,0,0,0,0,0,0,0,0,0
0.106624,0,0,0,0,0,0,0,0,0,0,0,0
0.108057,0,0,0,0,0,0,0,0,0,0,0,0
0.109570,0,0,0,0,0,0,0,0,0,0,0,0
0.110993,0,0,0,0,0,0,0,0,0,0,0,0
0.112896,0,0,0,0,0,0,0,0,0,0,0,0
0.114412,0,0,0,0,0,0,0,0,0,0,0,0
0.116004,0,0,0,0,0,0,0,0,0,0,0,0
0.117651,0,0,0,0,0,0,0,0,0,0,0,0
0.119297,0,0,0,0,0,0,0,0,0,0,0,0
0.120894,0,0,0,0,0,0,0,0,0,0,0,0
0.122488,0,0,0,0,0,0,0,0,0,0,0,0
0.124079,0,0,0,0,0,0,0,0,0,0,0,0
0.125673,0,0,0,0,0,0,0,0,0,0,0,0
0.127301,0,0,0,0,0,0,0,0,0,0,0,0
0.128804,0,0,0,0,0,0,0,0,0,0,0,0
0.130375,0,0,0,0,0,0,0,0,0,0,0,0
0.131960,0,0,0,0,0,0,0,0,0,0,0,0
0.133687,0,0,0,0,0,0,0,0,0,0,0,0
0.135322,0,0,0,0,0,0,0,0,0,0,0,0
0.136919,0,0,0,0,0,0,0,0,0,0,0,0
0.138515,0,0,0,0,0,0,0,0,0,0,0,0
0.140107,0,0,0,0,0,0,0,0,0,0,0,0
0.141728,0,0,0,0,0,0,0,0,0,0,0,0
0.143364,0,0,0,0,0,0,0,0,0,0,0,0
0.144961,0,0,0,0,0,0,0,0,0,0,0,0
0.146554,0,0,0,0,0,0,0,0,0,0,0,0
0.148148,0,0,0,0,0,0,0,0,0,0,0,0
0.149747,0,0,0,0,0,0,0,0,0,0,0,0
0.151383,0,0,0,0,0,0,0,0,0,0,0,0
0.152994,0,0,0,0,0,0,0,0,0,0,0,0
0.154590,0,0,0,0,0,0,0,0,0,0,0,0
0.156184,0,0,0,0,0,0,0,0,0,0,0,0
0.157784,0,0,0,0,0,0,0,0,0,0,0,0
0.159420,0,0,0,0,0,0,0,0,0,0,0,0
0.161018,0,0,0,0,0,0,0,0,0,0,0,0
0.162614,0,0,0,0,0,0,0,0,0,0,0,0
0.164220,0,0,0,0,0,0,0,0,0,0,0,0
0.165820,0,0,0,0,0,0,0,0,0,0,0,0
0.167458,0,0,0,0,0,0,0,0,0,0,0,0
0.169056,0,0,0,0,0,0,0,0,0,0,0,0
0.170651,0,0,0,0,0,0,0,0,0,0,0,0
0.172244,0,0,0,0,0,0,0,0,0,0,0,0
0.173843,0,0,0,0,0,0,0,0,0,0,0,0
0.175491,0,0,0,0,0,0,0,0,0,0,0,0
0.177089,0,0,0,0,0,0,0,0,0,0,0,0
0.178684,0,0,0,0,0,0,0,0,0,0,0,0
0.180278,0,0,0,0,0,0,0,0,0,0,0,0
0.181833,0,0,0,0,0,0,0,0,0,0,0,0
0.183309,0,0,0,0,0,0,0,0,0,0,0,0
