elapsed_s,VPC_RESERVED_42,VPC_RESERVED_43,VPC_RESERVED_44,VPC_BE_BUSY_CYCLES,VPC_BE_WORKING_CYCLES,VPC_BE_STALL_CYCLES_TSE_BE
0.493897,0,0,0,0,0,0
0.495206,0,0,0,0,0,0
0.496531,0,0,0,0,0,0
0.497861,0,0,0,0,0,0
0.499229,0,0,0,0,0,0
0.500556,0,0,0,0,0,0
0.501880,0,0,0,0,0,0
0.503200,0,0,0,0,0,0
0.504526,0,0,0,0,0,0
0.505851,0,0,0,0,0,0
0.507220,0,0,0,0,0,0
0.508553,0,0,0,0,0,0
0.509878,0,0,0,0,0,0
0.511199,0,0,0,0,0,0
0.512525,0,0,0,0,0,0
0.513850,0,0,0,0,0,0
0.515249,0,0,0,0,0,0
0.516575,0,0,0,0,0,0
0.517900,0,0,0,0,0,0
0.519198,0,0,0,0,0,0
0.523224,0,0,0,0,0,0
0.524551,0,0,0,0,0,0
0.525876,0,0,0,0,0,0
0.527194,0,0,0,0,0,0
0.528519,0,0,0,0,0,0
0.529850,0,0,0,0,0,0
0.531216,0,0,0,0,0,0
0.532543,0,0,0,0,0,0
0.533868,0,0,0,0,0,0
0.535196,0,0,0,0,0,0
0.536520,0,0,0,0,0,0
0.537842,0,0,0,0,0,0
0.539241,0,0,0,0,0,0
0.540572,0,0,0,0,0,0
0.541895,0,0,0,0,0,0
0.543193,0,0,0,0,0,0
0.544518,0,0,0,0,0,0
0.545844,0,0,0,0,0,0
0.547244,0,0,0,0,0,0
0.548570,0,0,0,0,0,0
0.549895,0,0,0,0,0,0
0.551204,0,0,0,0,0,0
0.552529,0,0,0,0,0,0
0.553854,0,0,0,0,0,0
0.555246,0,0,0,0,0,0
0.556572,0,0,0,0,0,0
0.557897,0,0,0,0,0,0
0.559207,0,0,0,0,0,0
0.560533,0,0,0,0,0,0
0.561901,0,0,0,0,0,0
0.563231,0,0,0,0,0,0
0.564584,0,0,0,0,0,0
0.565908,0,0,0,0,0,0
0.567196,0,0,0,0,0,0
0.568521,0,0,0,0,0,0
0.569847,0,0,0,0,0,0
0.571284,0,0,0,0,0,0
0.572617,0,0,0,0,0,0
0.573942,0,0,0,0,0,0
0.575267,0,0,0,0,0,0
0.576593,0,0,0,0,0,0
0.577918,0,0,0,0,0,0
0.579248,0,0,0,0,0,0
0.580690,0,0,0,0,0,0
0.582016,0,0,0,0,0,0
0.583348,0,0,0,0,0,0
0.584673,0,0,0,0,0,0
0.585996,0,0,0,0,0,0
0.587321,0,0,0,0,0,0
0.588645,0,0,0,0,0,0
0.589968,0,0,0,0,0,0
0.591293,0,0,0,0,0,0
0.592616,0,0,0,0,0,0
0.593955,0,0,0,0,0,0
0.596287,0,0,0,0,0,0
0.597613,0,0,0,0,0,0
0.598938,0,0,0,0,0,0
0.600289,0,0,0,0,0,0
0.601615,0,0,0,0,0,0
0.602958,0,0,0,0,0,0
0.604340,0,0,0,0,0,0
0.605666,0,0,0,0,0,0
0.606991,0,0,0,0,0,0
0.608411,0,0,0,0,0,0
