elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.547005,0,0,0,0,1032207,0
0.548988,0,0,0,0,802683,0
0.550886,0,0,0,0,791229,0
0.552775,0,0,0,0,793680,0
0.554618,0,0,0,0,797880,0
0.556441,0,0,0,0,797145,0
0.558265,0,0,0,0,925059,0
0.560171,0,0,0,0,797934,0
0.561995,0,0,0,0,799011,0
0.563823,0,0,0,0,788121,0
0.565782,0,0,0,0,662601,0
0.567638,0,0,0,0,644052,0
0.569203,0,0,0,0,577533,0
0.570731,0,0,0,0,655542,0
0.572223,0,0,0,0,589137,0
0.573714,0,0,0,0,590457,0
0.575257,0,0,0,0,598437,0
0.576765,0,0,0,0,590205,0
0.578444,0,0,0,0,611469,0
0.581853,0,0,0,0,753408,0
0.583736,0,0,0,0,685869,0
0.585347,0,0,0,0,614370,0
0.586853,0,0,0,0,634746,0
0.588384,0,0,0,0,655161,0
0.589907,0,0,0,0,655782,0
0.591462,0,0,0,0,675507,0
0.593064,0,0,0,0,673512,0
0.594676,0,0,0,0,678573,0
0.596283,0,0,0,0,660090,0
0.597872,0,0,0,0,652743,0
0.599515,0,0,0,0,648414,0
0.601075,0,0,0,0,646929,0
0.602633,0,0,0,0,648183,0
0.604194,0,0,0,0,655554,0
0.605762,0,0,0,0,655932,0
0.607542,0,0,0,0,672861,0
0.609386,0,0,0,0,668913,0
0.611207,0,0,0,0,681846,0
0.613040,0,0,0,0,670833,0
0.614940,0,0,0,0,673131,0
0.616911,0,0,0,0,869835,0
0.618735,0,0,0,0,673947,0
0.620579,0,0,0,0,674844,0
0.622405,0,0,0,0,573933,0
0.623955,0,0,0,0,649593,0
0.625722,0,0,0,0,660099,0
0.627671,0,0,0,0,622368,0
0.629244,0,0,0,0,662052,0
0.630874,0,0,0,0,635400,0
0.632437,0,0,0,0,707190,0
0.634251,0,0,0,0,674769,0
0.636079,0,0,0,0,676365,0
0.637951,0,0,0,0,743838,0
0.639630,0,0,0,0,650175,0
0.641222,0,0,0,0,643365,0
0.642784,0,0,0,0,646251,0
0.644345,0,0,0,0,652293,0
0.645913,0,0,0,0,649695,0
0.647482,0,0,0,0,657261,0
