elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.480286,0,0,0,0,0,0
0.481784,0,0,0,0,0,0
0.483265,0,0,0,0,0,0
0.485049,0,0,0,0,0,0
0.486814,0,0,0,0,0,0
0.488607,0,0,0,0,0,0
0.490335,0,0,0,0,0,0
0.492047,0,0,0,0,0,0
0.493601,0,0,0,0,0,0
0.495109,0,0,0,0,0,0
0.496854,0,0,0,0,0,0
0.498528,0,0,0,0,0,0
0.500255,0,0,0,0,0,0
0.501985,0,0,0,0,0,0
0.503715,0,0,0,0,0,0
0.505528,0,0,0,0,0,0
0.507257,0,0,0,0,0,0
0.508988,0,0,0,0,0,0
0.510721,0,0,0,0,0,0
0.512513,0,0,0,0,0,0
0.514205,0,0,0,0,0,0
0.515907,0,0,0,0,0,0
0.517639,0,0,0,0,0,0
0.519371,0,0,0,0,0,0
0.521316,0,0,0,0,0,0
0.523815,0,0,0,0,0,0
0.525998,0,0,0,0,0,0
0.527529,0,0,0,0,0,0
0.529086,0,0,0,0,0,0
0.530578,0,0,0,0,0,0
0.532069,0,0,0,0,0,0
0.533561,0,0,0,0,0,0
0.535041,0,0,0,0,0,0
0.536569,0,0,0,0,0,0
0.538237,0,0,0,0,0,0
0.539802,0,0,0,0,0,0
0.541374,0,0,0,0,0,0
0.542945,0,0,0,0,0,0
0.544579,0,0,0,0,0,0
0.546273,0,0,0,0,0,0
0.548047,0,0,0,0,0,0
0.549889,0,0,0,0,0,0
0.551697,0,0,0,0,0,0
0.553726,0,0,0,0,0,0
0.555733,0,0,0,0,0,0
0.557611,0,0,0,0,0,0
0.559534,0,0,0,0,0,0
0.561181,0,0,0,0,0,0
0.562966,0,0,0,0,0,0
0.564790,0,0,0,0,0,0
0.566621,0,0,0,0,0,0
0.568518,0,0,0,0,0,0
0.570488,0,0,0,0,0,0
0.572311,0,0,0,0,0,0
0.573924,0,0,0,0,0,0
0.575702,0,0,0,0,0,0
0.577523,0,0,0,0,0,0
0.579340,0,0,0,0,0,0
0.581037,0,0,0,0,0,0
0.582644,0,0,0,0,0,0
0.584497,0,0,0,0,0,0
0.586466,0,0,0,0,0,0
0.588284,0,0,0,0,0,0
0.590105,0,0,0,0,0,0
0.591926,0,0,0,0,0,0
0.593620,0,0,0,0,0,0
0.595404,0,0,0,0,0,0
0.597230,0,0,0,0,0,0
0.599051,0,0,0,0,0,0
0.601107,0,0,0,0,0,0
0.602942,0,0,0,0,0,0
0.604779,0,0,0,0,0,0
0.606433,0,0,0,0,0,0
0.608294,0,0,0,0,0,0
0.610114,0,0,0,0,0,0
0.611924,0,0,0,0,0,0
0.613536,0,0,0,0,0,0
0.615123,0,0,0,0,0,0
0.617034,0,0,0,0,0,0
0.618743,0,0,0,0,0,0
0.620520,0,0,0,0,0,0
0.622292,0,0,0,0,0,0
0.624067,0,0,0,0,0,0
0.625722,0,0,0,0,0,0
0.627297,0,0,0,0,0,0
0.629071,0,0,0,0,0,0
0.630697,0,0,0,0,0,0
0.632565,0,0,0,0,0,0
0.634348,0,0,0,0,0,0
0.636141,0,0,0,0,0,0
0.638030,0,0,0,0,0,0
0.639854,0,0,0,0,0,0
0.641707,0,0,0,0,0,0
0.643530,0,0,0,0,0,0
0.645356,0,0,0,0,0,0
0.647202,0,0,0,0,0,0
0.649030,0,0,0,0,0,0
0.650852,0,0,0,0,0,0
0.652672,0,0,0,0,0,0
0.654502,0,0,0,0,0,0
0.656400,0,0,0,0,0,0
0.658573,0,0,0,0,0,0
0.660263,0,0,0,0,0,0
0.661993,0,0,0,0,0,0
0.663723,0,0,0,0,0,0
0.665457,0,0,0,0,0,0
0.667186,0,0,0,0,0,0
0.668749,0,0,0,0,0,0
0.670278,0,0,0,0,0,0
0.671760,0,0,0,0,0,0
0.673321,0,0,0,0,0,0
0.674906,0,0,0,0,0,0
0.676397,0,0,0,0,0,0
0.677882,0,0,0,0,0,0
0.679574,0,0,0,0,0,0
0.681308,0,0,0,0,0,0
