elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.421724,0,0,0,8355528,0,0
0.422990,0,0,0,8342028,0,0
0.424255,0,0,0,8348226,0,0
0.425520,0,0,0,8346090,0,0
0.426818,0,0,0,8574534,0,0
0.428084,0,0,0,8350122,0,0
0.429357,0,0,0,8424084,0,0
0.430639,0,0,0,8451060,0,0
0.431906,0,0,0,8349366,0,0
0.433170,0,0,0,8346354,0,0
0.434437,0,0,0,8362476,0,0
0.435702,0,0,0,8350302,0,0
0.436967,0,0,0,8351010,0,0
0.438234,0,0,0,8357712,0,0
0.439499,0,0,0,8345562,0,0
0.440770,0,0,0,8394870,0,0
0.442037,0,0,0,8578848,0,0
0.443335,0,0,0,8349378,0,0
0.444669,0,0,0,9650844,0,0
0.446071,0,0,0,8423988,0,0
0.447341,0,0,0,8366406,0,0
0.448607,0,0,0,8353482,0,0
0.449874,0,0,0,8361414,0,0
0.451148,0,0,0,8408064,0,0
0.452413,0,0,0,8343882,0,0
0.453681,0,0,0,8407956,0,0
0.455081,0,0,0,9355278,0,0
0.456386,0,0,0,8497374,0,0
0.457897,0,0,0,11044278,0,0
0.459466,0,0,0,9391950,0,0
0.460766,0,0,0,8441934,0,0
0.462065,0,0,0,8692098,0,0
0.463361,0,0,0,8434530,0,0
0.464754,0,0,0,9331602,0,0
0.466054,0,0,0,8456544,0,0
0.467326,0,0,0,8380584,0,0
0.468724,0,0,0,9248106,0,0
0.469996,0,0,0,8373894,0,0
0.471262,0,0,0,8351994,0,0
0.472539,0,0,0,8430732,0,0
0.473806,0,0,0,8360724,0,0
0.475115,0,0,0,8642196,0,0
0.476380,0,0,0,8344452,0,0
0.477644,0,0,0,8356650,0,0
0.478918,0,0,0,8411580,0,0
0.480187,0,0,0,8362272,0,0
0.481453,0,0,0,8350230,0,0
0.482730,0,0,0,8435142,0,0
0.483996,0,0,0,8356044,0,0
0.485262,0,0,0,8352078,0,0
0.486527,0,0,0,8348046,0,0
0.487793,0,0,0,8356722,0,0
0.489058,0,0,0,8350044,0,0
0.490361,0,0,0,8587908,0,0
0.491623,0,0,0,8323914,0,0
0.492892,0,0,0,8380176,0,0
0.494156,0,0,0,8355852,0,0
0.495551,0,0,0,9351852,0,0
0.496978,0,0,0,9421716,0,0
0.498285,0,0,0,8494824,0,0
0.499558,0,0,0,8389656,0,0
0.500954,0,0,0,9444180,0,0
0.502335,0,0,0,8905584,0,0
0.503625,0,0,0,8480382,0,0
0.504889,0,0,0,7507266,0,0
0.506028,0,0,0,8636322,0,0
0.507338,0,0,0,8369598,0,0
0.508604,0,0,0,8359734,0,0
0.509874,0,0,0,8377920,0,0
0.511110,0,0,0,8149956,0,0
0.512374,0,0,0,8350584,0,0
0.513650,0,0,0,8431998,0,0
0.514918,0,0,0,8355696,0,0
0.516184,0,0,0,8352060,0,0
0.517449,0,0,0,8351628,0,0
0.518716,0,0,0,8364222,0,0
0.519982,0,0,0,8353152,0,0
0.521247,0,0,0,8352060,0,0
0.522549,0,0,0,8595750,0,0
0.523824,0,0,0,8413956,0,0
0.525090,0,0,0,8351220,0,0
0.526357,0,0,0,8361306,0,0
0.527622,0,0,0,8350932,0,0
0.528887,0,0,0,8346720,0,0
0.530154,0,0,0,8360418,0,0
0.531418,0,0,0,8344968,0,0
0.532682,0,0,0,8343342,0,0
