elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.168167,0,0,0,0,0,0
0.169709,0,0,0,0,0,0
0.171273,0,0,0,0,0,0
0.172833,0,0,0,0,0,0
0.174372,0,0,0,0,0,0
0.175904,0,0,0,0,0,0
0.177469,0,0,0,0,0,0
0.179032,0,0,0,0,0,0
0.180594,0,0,0,0,0,0
0.182155,0,0,0,0,0,0
0.183718,0,0,0,0,0,0
0.185296,0,0,0,0,0,0
0.186859,0,0,0,0,0,0
0.188420,0,0,0,0,0,0
0.189984,0,0,0,0,0,0
0.191546,0,0,0,0,0,0
0.193112,0,0,0,0,0,0
0.194676,0,0,0,0,0,0
0.196251,0,0,0,0,0,0
0.197813,0,0,0,0,0,0
0.199367,0,0,0,0,0,0
0.200920,0,0,0,0,0,0
0.202569,0,0,0,0,0,0
0.204167,0,0,0,0,0,0
0.205731,0,0,0,0,0,0
0.207227,0,0,0,0,0,0
0.208629,0,0,0,0,0,0
0.210023,0,0,0,0,0,0
0.211366,0,0,0,0,0,0
0.212707,0,0,0,0,0,0
0.214163,0,0,0,0,0,0
0.215513,0,0,0,0,0,0
0.216860,0,0,0,0,0,0
0.218426,0,0,0,0,0,0
0.219797,0,0,0,0,0,0
0.221151,0,0,0,0,0,0
0.222504,0,0,0,0,0,0
0.223851,0,0,0,0,0,0
0.225232,0,0,0,0,0,0
0.226551,0,0,0,0,0,0
0.227869,0,0,0,0,0,0
0.229197,0,0,0,0,0,0
0.230520,0,0,0,0,0,0
0.231839,0,0,0,0,0,0
0.233158,0,0,0,0,0,0
0.234477,0,0,0,0,0,0
0.235795,0,0,0,0,0,0
0.237116,0,0,0,0,0,0
0.238435,0,0,0,0,0,0
0.239762,0,0,0,0,0,0
0.241100,0,0,0,0,0,0
0.242469,0,0,0,0,0,0
