elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.124893,0,0,0,0,0,0,0,0
0.126252,0,0,0,0,0,0,0,0
0.127610,0,0,0,0,0,0,0,0
0.128964,0,0,0,0,0,0,0,0
0.130328,0,0,0,0,0,0,0,0
0.131685,0,0,0,0,0,0,0,0
0.133087,0,0,0,0,0,0,0,0
0.134445,0,0,0,0,0,0,0,0
0.135806,0,0,0,0,0,0,0,0
0.137164,0,0,0,0,0,0,0,0
0.138521,0,0,0,0,0,0,0,0
0.139881,0,0,0,0,0,0,0,0
0.141249,0,0,0,0,0,0,0,0
0.142606,0,0,0,0,0,0,0,0
0.143965,0,0,0,0,0,0,0,0
0.145322,0,0,0,0,0,0,0,0
0.146677,0,0,0,0,0,0,0,0
0.148036,0,0,0,0,0,0,0,0
0.149446,0,0,0,0,0,0,0,0
0.150900,0,0,0,0,0,0,0,0
0.152333,0,0,0,0,0,0,0,0
0.153743,0,0,0,0,0,0,0,0
0.155154,0,0,0,0,0,0,0,0
0.156561,0,0,0,0,0,0,0,0
0.157967,0,0,0,0,0,0,0,0
0.159375,0,0,0,0,0,0,0,0
0.160912,0,0,0,0,0,0,0,0
0.162369,0,0,0,0,0,0,0,0
0.163786,0,0,0,0,0,0,0,0
0.165240,0,0,0,0,0,0,0,0
0.166647,0,0,0,0,0,0,0,0
0.168057,0,0,0,0,0,0,0,0
0.169463,0,0,0,0,0,0,0,0
0.171000,0,0,0,0,0,0,0,0
0.172466,0,0,0,0,0,0,0,0
0.174010,0,0,0,0,0,0,0,0
0.175585,0,0,0,0,0,0,0,0
0.177158,0,0,0,0,0,0,0,0
0.178729,0,0,0,0,0,0,0,0
0.180258,0,0,0,0,0,0,0,0
0.181801,0,0,0,0,0,0,0,0
0.183388,0,0,0,0,0,0,0,0
0.184962,0,0,0,0,0,0,0,0
0.186533,0,0,0,0,0,0,0,0
0.188107,0,0,0,0,0,0,0,0
0.189680,0,0,0,0,0,0,0,0
