elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.424669,0,0,0,0,0,0,0,0,0,0,0,0
0.426100,0,0,0,0,0,0,0,0,0,0,0,0
0.427529,0,0,0,0,0,0,0,0,0,0,0,0
0.428960,0,0,0,0,0,0,0,0,0,0,0,0
0.430509,0,0,0,0,0,0,0,0,0,0,0,0
0.432068,0,0,0,0,0,0,0,0,0,0,0,0
0.433754,0,0,0,0,0,0,0,0,0,0,0,0
0.435348,0,0,0,0,0,0,0,0,0,0,0,0
0.436944,0,0,0,0,0,0,0,0,0,0,0,0
0.438538,0,0,0,0,0,0,0,0,0,0,0,0
0.440132,0,0,0,0,0,0,0,0,0,0,0,0
0.441744,0,0,0,0,0,0,0,0,0,0,0,0
0.443337,0,0,0,0,0,0,0,0,0,0,0,0
0.444933,0,0,0,0,0,0,0,0,0,0,0,0
0.446518,0,0,0,0,0,0,0,0,0,0,0,0
0.448144,0,0,0,0,0,0,0,0,0,0,0,0
0.449942,0,0,0,0,0,0,0,0,0,0,0,0
0.451382,0,0,0,0,0,0,0,0,0,0,0,0
0.452824,0,0,0,0,0,0,0,0,0,0,0,0
0.454250,0,0,0,0,0,0,0,0,0,0,0,0
0.455673,0,0,0,0,0,0,0,0,0,0,0,0
0.457098,0,0,0,0,0,0,0,0,0,0,0,0
0.458657,0,0,0,0,0,0,0,0,0,0,0,0
0.460246,0,0,0,0,0,0,0,0,0,0,0,0
0.461842,0,0,0,0,0,0,0,0,0,0,0,0
0.463446,0,0,0,0,0,0,0,0,0,0,0,0
0.465040,0,0,0,0,0,0,0,0,0,0,0,0
0.466716,0,0,0,0,0,0,0,0,0,0,0,0
0.468311,0,0,0,0,0,0,0,0,0,0,0,0
0.469903,0,0,0,0,0,0,0,0,0,0,0,0
0.471493,0,0,0,0,0,0,0,0,0,0,0,0
0.473087,0,0,0,0,0,0,0,0,0,0,0,0
0.474693,0,0,0,0,0,0,0,0,0,0,0,0
0.476283,0,0,0,0,0,0,0,0,0,0,0,0
0.477880,0,0,0,0,0,0,0,0,0,0,0,0
0.479469,0,0,0,0,0,0,0,0,0,0,0,0
0.481063,0,0,0,0,0,0,0,0,0,0,0,0
0.482656,0,0,0,0,0,0,0,0,0,0,0,0
0.484246,0,0,0,0,0,0,0,0,0,0,0,0
0.485731,0,0,0,0,0,0,0,0,0,0,0,0
0.487170,0,0,0,0,0,0,0,0,0,0,0,0
0.488609,0,0,0,0,0,0,0,0,0,0,0,0
0.490172,0,0,0,0,0,0,0,0,0,0,0,0
0.491763,0,0,0,0,0,0,0,0,0,0,0,0
0.493358,0,0,0,0,0,0,0,0,0,0,0,0
0.494951,0,0,0,0,0,0,0,0,0,0,0,0
0.496602,0,0,0,0,0,0,0,0,0,0,0,0
0.498197,0,0,0,0,0,0,0,0,0,0,0,0
0.499789,0,0,0,0,0,0,0,0,0,0,0,0
0.501383,0,0,0,0,0,0,0,0,0,0,0,0
0.502976,0,0,0,0,0,0,0,0,0,0,0,0
0.504572,0,0,0,0,0,0,0,0,0,0,0,0
0.506166,0,0,0,0,0,0,0,0,0,0,0,0
0.508270,0,0,0,0,0,0,0,0,0,0,0,0
0.509740,0,0,0,0,0,0,0,0,0,0,0,0
0.511169,0,0,0,0,0,0,0,0,0,0,0,0
0.512673,0,0,0,0,0,0,0,0,0,0,0,0
0.514103,0,0,0,0,0,0,0,0,0,0,0,0
0.515533,0,0,0,0,0,0,0,0,0,0,0,0
0.516961,0,0,0,0,0,0,0,0,0,0,0,0
0.518527,0,0,0,0,0,0,0,0,0,0,0,0
0.520117,0,0,0,0,0,0,0,0,0,0,0,0
0.521713,0,0,0,0,0,0,0,0,0,0,0,0
0.523302,0,0,0,0,0,0,0,0,0,0,0,0
0.524897,0,0,0,0,0,0,0,0,0,0,0,0
0.527886,0,0,0,0,0,0,0,0,0,0,0,0
0.529446,0,0,0,0,0,0,0,0,0,0,0,0
0.530929,0,0,0,0,0,0,0,0,0,0,0,0
0.532454,0,0,0,0,0,0,0,0,0,0,0,0
0.533887,0,0,0,0,0,0,0,0,0,0,0,0
0.535315,0,0,0,0,0,0,0,0,0,0,0,0
0.536748,0,0,0,0,0,0,0,0,0,0,0,0
0.538178,0,0,0,0,0,0,0,0,0,0,0,0
0.539843,0,0,0,0,0,0,0,0,0,0,0,0
0.541438,0,0,0,0,0,0,0,0,0,0,0,0
0.543023,0,0,0,0,0,0,0,0,0,0,0,0
0.544653,0,0,0,0,0,0,0,0,0,0,0,0
0.546134,0,0,0,0,0,0,0,0,0,0,0,0
0.547570,0,0,0,0,0,0,0,0,0,0,0,0
0.549005,0,0,0,0,0,0,0,0,0,0,0,0
0.550447,0,0,0,0,0,0,0,0,0,0,0,0
0.551877,0,0,0,0,0,0,0,0,0,0,0,0
0.553308,0,0,0,0,0,0,0,0,0,0,0,0
0.554858,0,0,0,0,0,0,0,0,0,0,0,0
0.556484,0,0,0,0,0,0,0,0,0,0,0,0
0.557935,0,0,0,0,0,0,0,0,0,0,0,0
0.559374,0,0,0,0,0,0,0,0,0,0,0,0
0.560988,0,0,0,0,0,0,0,0,0,0,0,0
0.564038,0,0,0,0,0,0,0,0,0,0,0,0
0.565762,0,0,0,0,0,0,0,0,0,0,0,0
0.567215,0,0,0,0,0,0,0,0,0,0,0,0
0.568650,0,0,0,0,0,0,0,0,0,0,0,0
0.570081,0,0,0,0,0,0,0,0,0,0,0,0
0.571527,0,0,0,0,0,0,0,0,0,0,0,0
0.572957,0,0,0,0,0,0,0,0,0,0,0,0
0.574512,0,0,0,0,0,0,0,0,0,0,0,0
0.576147,0,0,0,0,0,0,0,0,0,0,0,0
0.577745,0,0,0,0,0,0,0,0,0,0,0,0
0.579336,0,0,0,0,0,0,0,0,0,0,0,0
0.580931,0,0,0,0,0,0,0,0,0,0,0,0
0.582538,0,0,0,0,0,0,0,0,0,0,0,0
0.584130,0,0,0,0,0,0,0,0,0,0,0,0
0.585727,0,0,0,0,0,0,0,0,0,0,0,0
0.587319,0,0,0,0,0,0,0,0,0,0,0,0
0.589708,0,0,0,0,0,0,0,0,0,0,0,0
0.591178,0,0,0,0,0,0,0,0,0,0,0,0
0.592621,0,0,0,0,0,0,0,0,0,0,0,0
0.594046,0,0,0,0,0,0,0,0,0,0,0,0
0.595468,0,0,0,0,0,0,0,0,0,0,0,0
0.596920,0,0,0,0,0,0,0,0,0,0,0,0
0.598343,0,0,0,0,0,0,0,0,0,0,0,0
0.599765,0,0,0,0,0,0,0,0,0,0,0,0
0.601185,0,0,0,0,0,0,0,0,0,0,0,0
0.602618,0,0,0,0,0,0,0,0,0,0,0,0
0.604040,0,0,0,0,0,0,0,0,0,0,0,0
0.605559,0,0,0,0,0,0,0,0,0,0,0,0
0.606979,0,0,0,0,0,0,0,0,0,0,0,0
0.608572,0,0,0,0,0,0,0,0,0,0,0,0
0.609966,0,0,0,0,0,0,0,0,0,0,0,0
0.611360,0,0,0,0,0,0,0,0,0,0,0,0
0.612759,0,0,0,0,0,0,0,0,0,0,0,0
0.614153,0,0,0,0,0,0,0,0,0,0,0,0
0.615546,0,0,0,0,0,0,0,0,0,0,0,0
0.616938,0,0,0,0,0,0,0,0,0,0,0,0
0.618330,0,0,0,0,0,0,0,0,0,0,0,0
0.619770,0,0,0,0,0,0,0,0,0,0,0,0
0.621187,0,0,0,0,0,0,0,0,0,0,0,0
0.622583,0,0,0,0,0,0,0,0,0,0,0,0
0.623983,0,0,0,0,0,0,0,0,0,0,0,0
0.625401,0,0,0,0,0,0,0,0,0,0,0,0
0.626778,0,0,0,0,0,0,0,0,0,0,0,0
0.628155,0,0,0,0,0,0,0,0,0,0,0,0
0.629554,0,0,0,0,0,0,0,0,0,0,0,0
0.630931,0,0,0,0,0,0,0,0,0,0,0,0
0.632309,0,0,0,0,0,0,0,0,0,0,0,0
0.633766,0,0,0,0,0,0,0,0,0,0,0,0
0.635149,0,0,0,0,0,0,0,0,0,0,0,0
0.636899,0,0,0,0,0,0,0,0,0,0,0,0
0.638276,0,0,0,0,0,0,0,0,0,0,0,0
0.639652,0,0,0,0,0,0,0,0,0,0,0,0
0.641017,0,0,0,0,0,0,0,0,0,0,0,0
0.642458,0,0,0,0,0,0,0,0,0,0,0,0
0.643898,0,0,0,0,0,0,0,0,0,0,0,0
0.645346,0,0,0,0,0,0,0,0,0,0,0,0
0.646787,0,0,0,0,0,0,0,0,0,0,0,0
0.648228,0,0,0,0,0,0,0,0,0,0,0,0
0.649674,0,0,0,0,0,0,0,0,0,0,0,0
0.651121,0,0,0,0,0,0,0,0,0,0,0,0
0.652586,0,0,0,0,0,0,0,0,0,0,0,0
0.653985,0,0,0,0,0,0,0,0,0,0,0,0
0.655381,0,0,0,0,0,0,0,0,0,0,0,0
0.656797,0,0,0,0,0,0,0,0,0,0,0,0
0.658177,0,0,0,0,0,0,0,0,0,0,0,0
0.659561,0,0,0,0,0,0,0,0,0,0,0,0
0.660941,0,0,0,0,0,0,0,0,0,0,0,0
