elapsed_s,TP_2D_OUTPUT_PIXELS_BILINEAR,TP_2D_FILTER_WORKLOAD_16BIT,TP_2D_FILTER_WORKLOAD_32BIT,TP_TPA2TPC_TRANS,TP_L1_MISSES_ASTC_1TILE,TP_L1_MISSES_ASTC_2TILE,TP_L1_MISSES_ASTC_4TILE,TP_L1_5_COMPRESS_REQS,TP_L1_5_L2_COMPRESS_MISS,TP_L1_BANK_CONFLICT,TP_L1_5_MISS_LATENCY_CYCLES,TP_L1_5_MISS_LATENCY_TRANS
0.477250,0,0,0,0,0,0,0,0,0,0,0,0
0.478844,0,0,0,0,0,0,0,0,0,0,0,0
0.480437,0,0,0,0,0,0,0,0,0,0,0,0
0.482045,0,0,0,0,0,0,0,0,0,0,0,0
0.483638,0,0,0,0,0,0,0,0,0,0,0,0
0.485228,0,0,0,0,0,0,0,0,0,0,0,0
0.486821,0,0,0,0,0,0,0,0,0,0,0,0
0.488414,0,0,0,0,0,0,0,0,0,0,0,0
0.489933,0,0,0,0,0,0,0,0,0,0,0,0
0.492439,0,0,0,0,0,0,0,0,0,0,0,0
0.493915,0,0,0,0,0,0,0,0,0,0,0,0
0.495431,0,0,0,0,0,0,0,0,0,0,0,0
0.496898,0,0,0,0,0,0,0,0,0,0,0,0
0.498331,0,0,0,0,0,0,0,0,0,0,0,0
0.499761,0,0,0,0,0,0,0,0,0,0,0,0
0.501200,0,0,0,0,0,0,0,0,0,0,0,0
0.502643,0,0,0,0,0,0,0,0,0,0,0,0
0.504073,0,0,0,0,0,0,0,0,0,0,0,0
0.505502,0,0,0,0,0,0,0,0,0,0,0,0
0.506932,0,0,0,0,0,0,0,0,0,0,0,0
0.508361,0,0,0,0,0,0,0,0,0,0,0,0
0.509824,0,0,0,0,0,0,0,0,0,0,0,0
0.511656,0,0,0,0,0,0,0,0,0,0,0,0
0.513099,0,0,0,0,0,0,0,0,0,0,0,0
0.514531,0,0,0,0,0,0,0,0,0,0,0,0
0.515960,0,0,0,0,0,0,0,0,0,0,0,0
0.517390,0,0,0,0,0,0,0,0,0,0,0,0
0.518820,0,0,0,0,0,0,0,0,0,0,0,0
0.520250,0,0,0,0,0,0,0,0,0,0,0,0
0.521807,0,0,0,0,0,0,0,0,0,0,0,0
0.523419,0,0,0,0,0,0,0,0,0,0,0,0
0.525011,0,0,0,0,0,0,0,0,0,0,0,0
0.526608,0,0,0,0,0,0,0,0,0,0,0,0
0.528200,0,0,0,0,0,0,0,0,0,0,0,0
0.529791,0,0,0,0,0,0,0,0,0,0,0,0
0.531459,0,0,0,0,0,0,0,0,0,0,0,0
0.532895,0,0,0,0,0,0,0,0,0,0,0,0
0.534466,0,0,0,0,0,0,0,0,0,0,0,0
0.536051,0,0,0,0,0,0,0,0,0,0,0,0
0.537633,0,0,0,0,0,0,0,0,0,0,0,0
0.539274,0,0,0,0,0,0,0,0,0,0,0,0
0.540857,0,0,0,0,0,0,0,0,0,0,0,0
0.542319,0,0,0,0,0,0,0,0,0,0,0,0
0.543883,0,0,0,0,0,0,0,0,0,0,0,0
0.545488,0,0,0,0,0,0,0,0,0,0,0,0
0.547081,0,0,0,0,0,0,0,0,0,0,0,0
0.548681,0,0,0,0,0,0,0,0,0,0,0,0
0.550276,0,0,0,0,0,0,0,0,0,0,0,0
0.551869,0,0,0,0,0,0,0,0,0,0,0,0
0.553459,0,0,0,0,0,0,0,0,0,0,0,0
0.555052,0,0,0,0,0,0,0,0,0,0,0,0
0.556656,0,0,0,0,0,0,0,0,0,0,0,0
0.558291,0,0,0,0,0,0,0,0,0,0,0,0
0.559884,0,0,0,0,0,0,0,0,0,0,0,0
