elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
2.435555,0,0,0,0,0,347965,347979,347962,347960,347958,347958,347956,348010,348009
2.437242,0,0,0,0,0,340163,340199,340216,340215,340213,340211,340210,340156,340155
2.438934,0,0,0,0,0,337970,337969,337966,337966,338018,338018,338017,338015,338014
2.440987,0,0,0,0,0,346667,346630,346613,346611,346559,346557,346557,346556,346555
2.442546,0,0,0,0,0,328226,328241,328239,328238,328236,328235,328233,328233,328231
2.444194,0,0,0,0,0,346421,346403,346419,346402,346402,346401,346401,346398,346398
2.445757,0,0,0,0,0,343193,343210,343194,343209,343207,343206,343204,343205,343203
2.447417,0,0,0,0,0,339790,339772,339771,339770,339822,339821,339820,339819,339819
2.449105,0,0,0,0,0,337677,337675,337726,337778,337725,337724,337723,377351,375081
2.450852,0,0,0,0,0,407550,407534,407495,407442,407440,407440,407439,367809,370076
2.452589,0,0,0,0,0,338857,338872,338856,338853,338853,338852,338851,338849,338848
2.454280,0,0,0,0,0,348968,348967,348966,348966,348965,348964,348963,348962,348962
2.455981,0,0,0,0,0,337844,337827,337841,337841,337840,337838,337838,337838,337837
2.457671,0,0,0,0,0,348100,348150,348151,348150,348149,348148,348147,348144,348144
2.459360,0,0,0,0,0,349852,349816,349798,349796,349794,349794,349793,349792,349843
2.461047,0,0,0,0,0,338203,338202,338201,338200,338200,338198,338196,338196,338142
2.462807,0,0,0,0,0,348818,348816,348815,348814,348812,348811,348810,348809,348807
2.464494,0,0,0,0,0,349068,349068,349082,349080,349133,349133,349134,349133,349133
2.466198,0,0,0,0,0,338875,338874,338874,338858,338804,338801,338799,338798,338797
2.467936,0,0,0,0,0,338866,338865,338849,338864,338862,338862,338860,338860,338859
2.469627,0,0,0,0,0,337211,337210,337207,337259,337259,337258,337257,337256,337255
2.471315,0,0,0,0,0,338380,338377,338376,338376,338374,338375,338375,338373,338372
2.473002,0,0,0,0,0,338879,338880,338879,338877,338877,338875,338872,338872,338870
2.474691,0,0,0,0,0,339356,339339,339353,339300,339299,339297,339298,339295,339296
2.476395,0,0,0,0,0,338557,338556,338557,338609,338607,338606,338604,338604,338602
2.478086,0,0,0,0,0,339630,339645,339646,339574,339573,339572,339571,339571,339570
2.479775,0,0,0,0,0,338187,338169,338167,338184,338183,338183,338234,338233,338231
2.481462,0,0,0,0,0,350884,350937,350935,350933,350932,350931,350879,350877,350876
2.483201,0,0,0,0,0,338723,338684,338668,338667,338666,338664,338663,338663,338661
2.484890,0,0,0,0,0,337742,337758,337756,337756,337756,337755,337753,337751,337750
2.486592,0,0,0,0,0,338941,338922,338921,338919,338918,338918,338917,338917,338917
2.488283,0,0,0,0,0,338949,338950,338949,338949,338947,338945,338944,338943,338942
2.489973,0,0,0,0,0,338886,338884,338883,338882,338881,338880,338879,338878,338877
2.491662,0,0,0,0,0,337904,337955,337988,337969,337969,337969,337967,338019,338018
2.493349,0,0,0,0,0,314096,318139,318928,320231,316959,321021,321536,321465,321463
2.494880,0,0,0,0,0,338684,334624,333816,332527,335796,331731,331216,331233,331233
2.496537,0,0,0,0,0,349322,349286,349267,349268,349268,349320,349318,349315,349315
2.498241,0,0,0,0,0,349318,349317,349317,349367,349366,349312,349312,349311,349310
2.499931,0,0,0,0,0,336870,336868,336883,336815,336813,336813,336810,336862,336861
2.501621,0,0,0,0,0,338118,338116,338099,338114,338115,338166,338166,338112,338110
2.503309,0,0,0,0,0,338462,338461,338460,338458,338455,338402,338401,338400,338399
2.504998,0,0,0,0,0,337950,337932,337948,337948,337946,337944,337944,337943,337943
2.506686,0,0,0,0,0,338945,338962,338960,338958,338958,338957,338955,338955,338954
2.508388,0,0,0,0,0,339689,339671,339670,339669,339669,339668,339667,339666,339664
2.510079,0,0,0,0,0,336076,336091,336074,336074,336073,336072,336070,336068,336068
2.511759,0,0,0,0,0,346556,346556,346555,346553,346551,346550,346551,346603,346601
2.513438,0,0,0,0,0,384344,384325,384341,384341,384340,384339,384338,384337,384336
2.515264,0,0,0,0,0,338212,338212,338210,338208,338208,338207,338206,338152,338153
2.516951,0,0,0,0,0,337808,337807,337808,337806,337804,337803,337802,337801,337798
2.518517,0,0,0,0,0,326524,326066,325655,325197,324738,324280,323821,323362,322903
2.520175,0,0,0,0,0,311956,311971,311954,311952,312000,311998,311997,312044,312045
2.521865,0,0,0,0,0,311520,311517,311467,311467,311418,311417,311416,311368,311366
2.523552,0,0,0,0,0,310482,310483,310481,310481,310480,310479,310478,310477,310475
2.525238,0,0,0,0,0,313191,313189,313205,313203,313202,313201,313199,313197,313195
2.526794,0,0,0,0,0,305353,305337,305336,305336,305334,305334,305382,305381,305381
2.528318,0,0,0,0,0,307835,307883,307881,307880,307880,307878,307878,307877,307877
2.529864,0,0,0,0,0,305980,305931,305930,305977,305976,305975,305924,305924,305923
2.531571,0,0,0,0,0,312553,312551,312550,312500,312498,312497,312497,312496,312495
2.533259,0,0,0,0,0,313276,313306,313339,313339,313338,313387,313386,313384,313383
2.534951,0,0,0,0,0,311948,311917,311883,311881,311881,311830,311828,311827,311826
2.536637,0,0,0,0,0,312173,312187,312170,312169,312168,312168,312166,312214,312212
2.538327,0,0,0,0,0,311469,311469,311468,311468,311466,311465,311465,311416,311416
2.540030,0,0,0,0,0,312169,312215,312277,312260,312260,312258,312258,312257,312255
2.541720,0,0,0,0,0,312294,312244,312229,312243,312242,312241,312239,312237,312285
2.543410,0,0,0,0,0,310738,310737,310688,310738,310735,310735,310734,310783,310733
2.545097,0,0,0,0,0,312090,312089,312103,312085,312183,312182,312181,312130,362501
2.546886,0,0,0,0,0,394155,394203,394187,394152,394054,394053,394053,394053,343679
2.548626,0,0,0,0,0,311698,311648,311646,311646,311645,311642,311641,311639,311639
2.550332,0,0,0,0,0,311699,311683,311697,311696,311743,311743,311741,311739,311739
2.552020,0,0,0,0,0,311377,311392,311424,311472,311424,311423,311422,311423,311421
2.553717,0,0,0,0,0,313111,313110,313060,313010,313008,313008,313008,313005,313005
2.555285,0,0,0,0,0,316398,316396,316412,316410,316408,328695,327186,327186,327184
2.556840,0,0,0,0,0,291428,291428,291412,291460,291459,291457,291553,291601,291600
2.558336,0,0,0,0,0,315806,315838,315867,315803,315802,303513,304922,304872,304872
2.559855,0,0,0,0,0,306235,306186,306184,306183,306183,306181,306181,306181,306227
2.561396,0,0,0,0,0,308078,308091,308692,308706,308719,310614,310743,310888,310839
2.562909,0,0,0,0,0,355056,355055,354422,354420,354405,352510,352427,352328,352328
2.565275,0,0,0,0,0,330129,334355,332101,332182,334900,336160,336888,336950,337015
2.567018,0,0,0,0,0,348494,348348,348672,348574,345853,344638,343860,343796,343776
2.568671,0,0,0,0,0,293365,290108,292068,292696,293506,293490,293537,301452,305142
2.570356,0,0,0,0,0,356693,356693,360170,364106,360492,360458,360409,352493,348738
2.572264,0,0,0,0,0,421122,420358,416862,412344,415146,417069,417747,417697,417711
2.574783,0,0,0,0,0,414542,415026,415671,417093,417222,415331,414650,414649,415441
2.577899,0,0,0,0,0,422146,421597,421726,421740,421609,421575,422337,422417,423323
2.579592,0,0,0,0,0,317092,316915,316039,314373,314192,313982,313024,312778,310882
2.581089,0,0,0,0,0,299815,299795,299698,299696,299680,299727,299727,299694,299695
2.582602,0,0,0,0,0,295832,295831,295830,295829,295814,295779,295777,295807,295790
2.584042,0,0,0,0,0,294610,294609,294608,294607,294604,294604,294603,294573,294586
2.585479,0,0,0,0,0,348000,348000,352080,349455,349456,349519,349503,351668,352332
2.587091,0,0,0,0,0,299666,299649,295548,298140,298105,297973,297939,295722,295009
2.588585,0,0,0,0,0,293503,293518,293520,293550,293598,293663,293725,293740,293758
2.590067,0,0,0,0,0,294765,294764,294763,294762,294760,294741,294695,294709,294708
2.591552,0,0,0,0,0,296011,296042,296073,296058,296087,296074,296103,296121,296149
2.593053,0,0,0,0,0,292687,292652,292620,292635,292603,292632,292632,292660,292630
2.594538,0,0,0,0,0,294821,294820,294819,294817,294798,294768,294766,294736,294745
2.596079,0,0,0,0,0,304927,305121,305412,305604,305817,306087,306281,306472,306686
2.597597,0,0,0,0,0,304348,304363,304279,304264,304262,304213,304212,304213,304209
2.599162,0,0,0,0,0,305658,305626,305626,305640,305639,305639,305637,305636,305637
2.600676,0,0,0,0,0,304936,304936,304950,304933,304931,304931,304930,304928,304927
2.602193,0,0,0,0,0,302394,302441,302424,302439,302439,302437,302436,302436,302435
2.603720,0,0,0,0,0,302822,302803,302786,302785,302834,302880,302879,302878,302876
