elapsed_s,HLSQ_BV_SP_CTX_ALIVE_CYCLE,HLSQ_STPROC_WAVE_NUM_FS,HLSQ_STPROC_WAVE_NUM_VS,HLSQ_STPROC_WAVE_NUM_BV,HLSQ_STPROC_WAVE_NUM_LPAC,HLSQ_VS_SP_CCTX_NUM
0.255765,0,0,0,0,0,0
0.257322,0,0,0,0,0,0
0.258883,0,0,0,0,0,0
0.260316,0,0,0,0,0,0
0.261967,0,0,0,0,0,0
0.263420,0,0,0,0,0,0
0.264818,0,0,0,0,0,0
0.266226,0,0,0,0,0,0
0.267627,0,0,0,0,0,0
0.269024,0,0,0,0,0,0
0.270423,0,0,0,0,0,0
0.272037,0,0,0,0,0,0
0.273652,0,0,0,0,0,0
0.275210,0,0,0,0,0,0
0.276782,0,0,0,0,0,0
0.278386,0,0,0,0,0,0
0.279946,0,0,0,0,0,0
0.281504,0,0,0,0,0,0
0.283068,0,0,0,0,0,0
0.284672,0,0,0,0,0,0
0.286230,0,0,0,0,0,0
0.287802,0,0,0,0,0,0
0.289360,0,0,0,0,0,0
0.290925,0,0,0,0,0,0
0.292484,0,0,0,0,0,0
0.294089,0,0,0,0,0,0
0.295650,0,0,0,0,0,0
0.297209,0,0,0,0,0,0
0.298656,0,0,0,0,0,0
0.300187,0,0,0,0,0,0
0.301749,0,0,0,0,0,0
0.303309,0,0,0,0,0,0
0.304868,0,0,0,0,0,0
0.306430,0,0,0,0,0,0
0.307991,0,0,0,0,0,0
0.309562,0,0,0,0,0,0
0.311092,0,0,0,0,0,0
0.312492,0,0,0,0,0,0
0.314020,0,0,0,0,0,0
0.315577,0,0,0,0,0,0
0.317135,0,0,0,0,0,0
0.318693,0,0,0,0,0,0
0.320266,0,0,0,0,0,0
0.321826,0,0,0,0,0,0
0.323385,0,0,0,0,0,0
0.324942,0,0,0,0,0,0
0.326543,0,0,0,0,0,0
0.328102,0,0,0,0,0,0
0.329664,0,0,0,0,0,0
0.331236,0,0,0,0,0,0
0.332792,0,0,0,0,0,0
0.334353,0,0,0,0,0,0
0.335911,0,0,0,0,0,0
0.337468,0,0,0,0,0,0
0.339031,0,0,0,0,0,0
0.340588,0,0,0,0,0,0
0.342203,0,0,0,0,0,0
0.343761,0,0,0,0,0,0
0.345318,0,0,0,0,0,0
0.346880,0,0,0,0,0,0
0.348437,0,0,0,0,0,0
0.349997,0,0,0,0,0,0
0.351557,0,0,0,0,0,0
0.353127,0,0,0,0,0,0
0.354685,0,0,0,0,0,0
0.356244,0,0,0,0,0,0
0.357805,0,0,0,0,0,0
0.359365,0,0,0,0,0,0
0.360922,0,0,0,0,0,0
0.362481,0,0,0,0,0,0
0.364054,0,0,0,0,0,0
0.365615,0,0,0,0,0,0
0.367173,0,0,0,0,0,0
0.368730,0,0,0,0,0,0
0.370290,0,0,0,0,0,0
0.371848,0,0,0,0,0,0
0.373405,0,0,0,0,0,0
0.374858,0,0,0,0,0,0
0.376386,0,0,0,0,0,0
0.377946,0,0,0,0,0,0
0.379505,0,0,0,0,0,0
0.381062,0,0,0,0,0,0
