elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_VS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_VS,HLSQ_STPROC_WAVE_CONTEXTS_FS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,HLSQ_STPROC_WAVE_CONTEXTS_BV,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_BV
0.170182,0,0,0,0,0,0
0.171743,0,0,0,0,0,0
0.173303,0,0,0,0,0,0
0.174865,0,0,0,0,0,0
0.176425,0,0,0,0,0,0
0.177984,0,0,0,0,0,0
0.179590,0,0,0,0,0,0
0.181166,0,0,0,0,0,0
0.182724,0,0,0,0,0,0
0.184232,0,0,0,0,0,0
0.185764,0,0,0,0,0,0
0.187326,0,0,0,0,0,0
0.188887,0,0,0,0,0,0
0.190446,0,0,0,0,0,0
0.192086,0,0,0,0,0,0
0.193645,0,0,0,0,0,0
0.195250,0,0,0,0,0,0
0.196811,0,0,0,0,0,0
0.198370,0,0,0,0,0,0
0.199930,0,0,0,0,0,0
0.201492,0,0,0,0,0,0
0.203069,0,0,0,0,0,0
0.204629,0,0,0,0,0,0
0.206188,0,0,0,0,0,0
0.207748,0,0,0,0,0,0
0.209310,0,0,0,0,0,0
0.210872,0,0,0,0,0,0
0.212434,0,0,0,0,0,0
0.213884,0,0,0,0,0,0
0.215419,0,0,0,0,0,0
0.216979,0,0,0,0,0,0
0.218538,0,0,0,0,0,0
0.220104,0,0,0,0,0,0
0.221662,0,0,0,0,0,0
0.223225,0,0,0,0,0,0
0.224799,0,0,0,0,0,0
0.226359,0,0,0,0,0,0
0.227962,0,0,0,0,0,0
0.229523,0,0,0,0,0,0
0.231085,0,0,0,0,0,0
0.232637,0,0,0,0,0,0
0.234187,0,0,0,0,0,0
0.235661,0,0,0,0,0,0
0.237189,0,0,0,0,0,0
0.238739,0,0,0,0,0,0
0.240331,0,0,0,0,0,0
0.241891,0,0,0,0,0,0
0.243497,0,0,0,0,0,0
0.245057,0,0,0,0,0,0
0.246632,0,0,0,0,0,0
0.248194,0,0,0,0,0,0
0.249753,0,0,0,0,0,0
0.251315,0,0,0,0,0,0
0.252876,0,0,0,0,0,0
0.254435,0,0,0,0,0,0
0.255868,0,0,0,0,0,0
0.257412,0,0,0,0,0,0
0.258974,0,0,0,0,0,0
0.260579,0,0,0,0,0,0
0.262138,0,0,0,0,0,0
0.263698,0,0,0,0,0,0
0.265259,0,0,0,0,0,0
0.266822,0,0,0,0,0,0
0.268398,0,0,0,0,0,0
0.269957,0,0,0,0,0,0
0.271519,0,0,0,0,0,0
0.273081,0,0,0,0,0,0
0.274640,0,0,0,0,0,0
0.276172,0,0,0,0,0,0
0.277575,0,0,0,0,0,0
0.279113,0,0,0,0,0,0
0.280674,0,0,0,0,0,0
0.282234,0,0,0,0,0,0
0.283795,0,0,0,0,0,0
0.285347,0,0,0,0,0,0
0.286967,0,0,0,0,0,0
0.288574,0,0,0,0,0,0
0.290146,0,0,0,0,0,0
0.291749,0,0,0,0,0,0
0.293307,0,0,0,0,0,0
0.294868,0,0,0,0,0,0
0.296428,0,0,0,0,0,0
0.297985,0,0,0,0,0,0
0.299547,0,0,0,0,0,0
0.301120,0,0,0,0,0,0
0.302680,0,0,0,0,0,0
0.304243,0,0,0,0,0,0
0.305802,0,0,0,0,0,0
0.307406,0,0,0,0,0,0
0.308967,0,0,0,0,0,0
0.310525,0,0,0,0,0,0
0.312102,0,0,0,0,0,0
0.313660,0,0,0,0,0,0
0.315220,0,0,0,0,0,0
0.316779,0,0,0,0,0,0
0.318337,0,0,0,0,0,0
0.319896,0,0,0,0,0,0
0.321455,0,0,0,0,0,0
0.323030,0,0,0,0,0,0
0.324635,0,0,0,0,0,0
0.326145,0,0,0,0,0,0
0.327707,0,0,0,0,0,0
0.329265,0,0,0,0,0,0
0.330824,0,0,0,0,0,0
0.332383,0,0,0,0,0,0
0.333955,0,0,0,0,0,0
0.335515,0,0,0,0,0,0
0.337072,0,0,0,0,0,0
0.338629,0,0,0,0,0,0
0.340219,0,0,0,0,0,0
0.341620,0,0,0,0,0,0
0.343147,0,0,0,0,0,0
0.344719,0,0,0,0,0,0
0.346278,0,0,0,0,0,0
0.347837,0,0,0,0,0,0
0.349397,0,0,0,0,0,0
0.350958,0,0,0,0,0,0
0.352516,0,0,0,0,0,0
0.354071,0,0,0,0,0,0
0.355575,0,0,0,0,0,0
0.357110,0,0,0,0,0,0
0.358668,0,0,0,0,0,0
0.360232,0,0,0,0,0,0
0.361789,0,0,0,0,0,0
0.363349,0,0,0,0,0,0
0.364908,0,0,0,0,0,0
0.366479,0,0,0,0,0,0
0.368099,0,0,0,0,0,0
0.369655,0,0,0,0,0,0
0.371257,0,0,0,0,0,0
0.372817,0,0,0,0,0,0
0.374374,0,0,0,0,0,0
0.375932,0,0,0,0,0,0
0.377504,0,0,0,0,0,0
0.379064,0,0,0,0,0,0
0.380623,0,0,0,0,0,0
0.382178,0,0,0,0,0,0
0.383737,0,0,0,0,0,0
0.385169,0,0,0,0,0,0
0.386697,0,0,0,0,0,0
0.388269,0,0,0,0,0,0
0.389819,0,0,0,0,0,0
0.391249,0,0,0,0,0,0
0.392778,0,0,0,0,0,0
0.394335,0,0,0,0,0,0
0.395895,0,0,0,0,0,0
0.397454,0,0,0,0,0,0
0.399028,0,0,0,0,0,0
0.400587,0,0,0,0,0,0
0.402146,0,0,0,0,0,0
0.403748,0,0,0,0,0,0
0.405307,0,0,0,0,0,0
