elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.445265,0,0,0,0,0,0
0.446875,0,0,0,0,0,0
0.448438,0,0,0,0,0,0
0.450000,0,0,0,0,0,0
0.451583,0,0,0,0,0,0
0.453145,0,0,0,0,0,0
0.454754,0,0,0,0,0,0
0.456318,0,0,0,0,0,0
0.457879,0,0,0,0,0,0
0.459422,0,0,0,0,0,0
0.460953,0,0,0,0,0,0
0.462531,0,0,0,0,0,0
0.464140,0,0,0,0,0,0
0.465701,0,0,0,0,0,0
0.467263,0,0,0,0,0,0
0.468827,0,0,0,0,0,0
0.470392,0,0,0,0,0,0
0.471998,0,0,0,0,0,0
0.473451,0,0,0,0,0,0
0.474985,0,0,0,0,0,0
0.476548,0,0,0,0,0,0
0.478109,0,0,0,0,0,0
0.479679,0,0,0,0,0,0
0.481240,0,0,0,0,0,0
0.482805,0,0,0,0,0,0
0.484373,0,0,0,0,0,0
0.485926,0,0,0,0,0,0
0.487604,0,0,0,0,0,0
0.489166,0,0,0,0,0,0
0.490731,0,0,0,0,0,0
0.492283,0,0,0,0,0,0
0.493837,0,0,0,0,0,0
0.495285,0,0,0,0,0,0
0.496816,0,0,0,0,0,0
0.498380,0,0,0,0,0,0
0.499941,0,0,0,0,0,0
0.501501,0,0,0,0,0,0
0.503108,0,0,0,0,0,0
0.504670,0,0,0,0,0,0
0.506248,0,0,0,0,0,0
0.507687,0,0,0,0,0,0
0.509223,0,0,0,0,0,0
0.510831,0,0,0,0,0,0
0.512395,0,0,0,0,0,0
0.513956,0,0,0,0,0,0
0.515524,0,0,0,0,0,0
0.517100,0,0,0,0,0,0
0.518710,0,0,0,0,0,0
0.520273,0,0,0,0,0,0
0.521836,0,0,0,0,0,0
0.523398,0,0,0,0,0,0
0.524962,0,0,0,0,0,0
0.526526,0,0,0,0,0,0
0.528151,0,0,0,0,0,0
0.529713,0,0,0,0,0,0
0.531275,0,0,0,0,0,0
0.532839,0,0,0,0,0,0
0.534404,0,0,0,0,0,0
0.536013,0,0,0,0,0,0
0.537575,0,0,0,0,0,0
0.539153,0,0,0,0,0,0
0.540717,0,0,0,0,0,0
0.542281,0,0,0,0,0,0
0.543845,0,0,0,0,0,0
0.545407,0,0,0,0,0,0
0.546971,0,0,0,0,0,0
0.548535,0,0,0,0,0,0
0.550110,0,0,0,0,0,0
0.551679,0,0,0,0,0,0
0.553240,0,0,0,0,0,0
0.554805,0,0,0,0,0,0
0.556359,0,0,0,0,0,0
0.557911,0,0,0,0,0,0
0.559453,0,0,0,0,0,0
0.560993,0,0,0,0,0,0
0.562558,0,0,0,0,0,0
0.564122,0,0,0,0,0,0
0.565684,0,0,0,0,0,0
0.567290,0,0,0,0,0,0
0.568853,0,0,0,0,0,0
0.570419,0,0,0,0,0,0
0.571996,0,0,0,0,0,0
0.573557,0,0,0,0,0,0
0.575163,0,0,0,0,0,0
0.576727,0,0,0,0,0,0
0.578293,0,0,0,0,0,0
0.579867,0,0,0,0,0,0
0.581428,0,0,0,0,0,0
0.583049,0,0,0,0,0,0
0.584613,0,0,0,0,0,0
0.586175,0,0,0,0,0,0
0.587773,0,0,0,0,0,0
0.589326,0,0,0,0,0,0
0.590802,0,0,0,0,0,0
0.592371,0,0,0,0,0,0
0.593945,0,0,0,0,0,0
0.595511,0,0,0,0,0,0
0.597107,0,0,0,0,0,0
0.598714,0,0,0,0,0,0
0.600276,0,0,0,0,0,0
0.601836,0,0,0,0,0,0
0.603397,0,0,0,0,0,0
0.604973,0,0,0,0,0,0
0.606538,0,0,0,0,0,0
0.608144,0,0,0,0,0,0
0.609703,0,0,0,0,0,0
0.611265,0,0,0,0,0,0
0.612827,0,0,0,0,0,0
0.614391,0,0,0,0,0,0
0.616011,0,0,0,0,0,0
0.617571,0,0,0,0,0,0
0.619133,0,0,0,0,0,0
0.620694,0,0,0,0,0,0
0.622258,0,0,0,0,0,0
0.623821,0,0,0,0,0,0
0.625381,0,0,0,0,0,0
0.626958,0,0,0,0,0,0
0.628520,0,0,0,0,0,0
0.630080,0,0,0,0,0,0
0.631648,0,0,0,0,0,0
0.633209,0,0,0,0,0,0
0.634772,0,0,0,0,0,0
0.636334,0,0,0,0,0,0
0.637907,0,0,0,0,0,0
0.639562,0,0,0,0,0,0
0.641123,0,0,0,0,0,0
0.642686,0,0,0,0,0,0
0.644246,0,0,0,0,0,0
0.645807,0,0,0,0,0,0
0.647412,0,0,0,0,0,0
0.648989,0,0,0,0,0,0
0.650553,0,0,0,0,0,0
0.653135,0,0,0,0,0,0
0.654577,0,0,0,0,0,0
0.655982,0,0,0,0,0,0
0.657380,0,0,0,0,0,0
0.658780,0,0,0,0,0,0
0.660200,0,0,0,0,0,0
0.661614,0,0,0,0,0,0
0.663049,0,0,0,0,0,0
0.664447,0,0,0,0,0,0
0.665843,0,0,0,0,0,0
0.667240,0,0,0,0,0,0
0.668637,0,0,0,0,0,0
0.670165,0,0,0,0,0,0
0.671783,0,0,0,0,0,0
0.673342,0,0,0,0,0,0
0.674905,0,0,0,0,0,0
0.676468,0,0,0,0,0,0
0.678027,0,0,0,0,0,0
0.679595,0,0,0,0,0,0
0.681157,0,0,0,0,0,0
0.682736,0,0,0,0,0,0
0.684299,0,0,0,0,0,0
