elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
0.480622,0,0,0,0,0,0
0.482143,0,0,0,0,0,0
0.483672,0,0,0,0,0,0
0.485233,0,0,0,0,0,0
0.486794,0,0,0,0,0,0
0.488351,0,0,0,0,0,0
0.489910,0,0,0,0,0,0
0.491469,0,0,0,0,0,0
0.493043,0,0,0,0,0,0
0.494647,0,0,0,0,0,0
0.496205,0,0,0,0,0,0
0.497766,0,0,0,0,0,0
0.499225,0,0,0,0,0,0
0.500751,0,0,0,0,0,0
0.502229,0,0,0,0,0,0
0.503643,0,0,0,0,0,0
0.505173,0,0,0,0,0,0
0.506733,0,0,0,0,0,0
0.508292,0,0,0,0,0,0
0.509897,0,0,0,0,0,0
0.511459,0,0,0,0,0,0
0.513021,0,0,0,0,0,0
0.514594,0,0,0,0,0,0
0.516153,0,0,0,0,0,0
0.517715,0,0,0,0,0,0
0.519277,0,0,0,0,0,0
0.520836,0,0,0,0,0,0
0.522401,0,0,0,0,0,0
0.523960,0,0,0,0,0,0
0.525578,0,0,0,0,0,0
0.527140,0,0,0,0,0,0
0.528698,0,0,0,0,0,0
0.530263,0,0,0,0,0,0
0.531822,0,0,0,0,0,0
0.533385,0,0,0,0,0,0
0.534945,0,0,0,0,0,0
0.536517,0,0,0,0,0,0
0.538077,0,0,0,0,0,0
0.539629,0,0,0,0,0,0
0.541222,0,0,0,0,0,0
0.542822,0,0,0,0,0,0
0.544379,0,0,0,0,0,0
0.545938,0,0,0,0,0,0
0.547387,0,0,0,0,0,0
0.548973,0,0,0,0,0,0
0.550531,0,0,0,0,0,0
0.552089,0,0,0,0,0,0
0.553650,0,0,0,0,0,0
0.555210,0,0,0,0,0,0
0.556768,0,0,0,0,0,0
0.558345,0,0,0,0,0,0
0.559903,0,0,0,0,0,0
0.561463,0,0,0,0,0,0
0.563021,0,0,0,0,0,0
0.564575,0,0,0,0,0,0
0.566195,0,0,0,0,0,0
0.567755,0,0,0,0,0,0
0.569328,0,0,0,0,0,0
0.570766,0,0,0,0,0,0
0.572299,0,0,0,0,0,0
0.573904,0,0,0,0,0,0
0.575465,0,0,0,0,0,0
0.577028,0,0,0,0,0,0
0.578589,0,0,0,0,0,0
0.580163,0,0,0,0,0,0
0.581726,0,0,0,0,0,0
0.583287,0,0,0,0,0,0
0.584846,0,0,0,0,0,0
0.586412,0,0,0,0,0,0
0.587972,0,0,0,0,0,0
0.589577,0,0,0,0,0,0
0.591151,0,0,0,0,0,0
0.592747,0,0,0,0,0,0
0.594215,0,0,0,0,0,0
0.595617,0,0,0,0,0,0
0.597145,0,0,0,0,0,0
0.598705,0,0,0,0,0,0
0.600266,0,0,0,0,0,0
0.601840,0,0,0,0,0,0
0.603402,0,0,0,0,0,0
0.604965,0,0,0,0,0,0
0.606527,0,0,0,0,0,0
0.608087,0,0,0,0,0,0
0.609650,0,0,0,0,0,0
0.611210,0,0,0,0,0,0
0.612781,0,0,0,0,0,0
0.614347,0,0,0,0,0,0
0.615907,0,0,0,0,0,0
0.617470,0,0,0,0,0,0
0.619031,0,0,0,0,0,0
0.620591,0,0,0,0,0,0
0.622214,0,0,0,0,0,0
0.623786,0,0,0,0,0,0
0.625349,0,0,0,0,0,0
0.626909,0,0,0,0,0,0
0.628469,0,0,0,0,0,0
0.630031,0,0,0,0,0,0
0.631593,0,0,0,0,0,0
0.633155,0,0,0,0,0,0
0.634729,0,0,0,0,0,0
0.636287,0,0,0,0,0,0
0.637891,0,0,0,0,0,0
0.639452,0,0,0,0,0,0
0.641014,0,0,0,0,0,0
0.642565,0,0,0,0,0,0
0.644076,0,0,0,0,0,0
0.645705,0,0,0,0,0,0
0.647550,0,0,0,0,0,0
0.648968,0,0,0,0,0,0
0.650387,0,0,0,0,0,0
0.651800,0,0,0,0,0,0
0.653199,0,0,0,0,0,0
0.654637,0,0,0,0,0,0
0.656048,0,0,0,0,0,0
0.657472,0,0,0,0,0,0
0.659020,0,0,0,0,0,0
0.660569,0,0,0,0,0,0
0.662210,0,0,0,0,0,0
0.663768,0,0,0,0,0,0
0.665329,0,0,0,0,0,0
0.666900,0,0,0,0,0,0
0.668362,0,0,0,0,0,0
0.669806,0,0,0,0,0,0
0.671231,0,0,0,0,0,0
0.672629,0,0,0,0,0,0
0.674082,0,0,0,0,0,0
0.675483,0,0,0,0,0,0
0.676897,0,0,0,0,0,0
0.678448,0,0,0,0,0,0
0.680007,0,0,0,0,0,0
0.681570,0,0,0,0,0,0
0.683131,0,0,0,0,0,0
0.684690,0,0,0,0,0,0
0.686256,0,0,0,0,0,0
0.687829,0,0,0,0,0,0
0.689392,0,0,0,0,0,0
0.690944,0,0,0,0,0,0
0.692494,0,0,0,0,0,0
0.693927,0,0,0,0,0,0
0.695523,0,0,0,0,0,0
0.697086,0,0,0,0,0,0
0.698659,0,0,0,0,0,0
0.700220,0,0,0,0,0,0
0.701825,0,0,0,0,0,0
0.703387,0,0,0,0,0,0
