elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.581079,0,0,0,0,0,0
0.582636,0,0,0,0,0,0
0.584197,0,0,0,0,0,0
0.585807,0,0,0,0,0,0
0.587369,0,0,0,0,0,0
0.588927,0,0,0,0,0,0
0.590482,0,0,0,0,0,0
0.592044,0,0,0,0,0,0
0.593480,0,0,0,0,0,0
0.595018,0,0,0,0,0,0
0.596592,0,0,0,0,0,0
0.598154,0,0,0,0,0,0
0.599759,0,0,0,0,0,0
0.601321,0,0,0,0,0,0
0.602885,0,0,0,0,0,0
0.604437,0,0,0,0,0,0
0.605989,0,0,0,0,0,0
0.607433,0,0,0,0,0,0
0.608962,0,0,0,0,0,0
0.610522,0,0,0,0,0,0
0.612082,0,0,0,0,0,0
0.613640,0,0,0,0,0,0
0.615245,0,0,0,0,0,0
0.616806,0,0,0,0,0,0
0.618376,0,0,0,0,0,0
0.619989,0,0,0,0,0,0
0.621547,0,0,0,0,0,0
0.623108,0,0,0,0,0,0
0.624669,0,0,0,0,0,0
0.626227,0,0,0,0,0,0
0.627787,0,0,0,0,0,0
0.629359,0,0,0,0,0,0
0.630921,0,0,0,0,0,0
0.632525,0,0,0,0,0,0
0.634083,0,0,0,0,0,0
0.635642,0,0,0,0,0,0
0.637201,0,0,0,0,0,0
0.638763,0,0,0,0,0,0
0.640219,0,0,0,0,0,0
0.641657,0,0,0,0,0,0
0.643070,0,0,0,0,0,0
0.644484,0,0,0,0,0,0
0.645883,0,0,0,0,0,0
0.647322,0,0,0,0,0,0
0.648719,0,0,0,0,0,0
0.650306,0,0,0,0,0,0
0.651752,0,0,0,0,0,0
0.653283,0,0,0,0,0,0
0.654845,0,0,0,0,0,0
0.656403,0,0,0,0,0,0
0.658104,0,0,0,0,0,0
0.659514,0,0,0,0,0,0
0.661038,0,0,0,0,0,0
0.662603,0,0,0,0,0,0
0.664218,0,0,0,0,0,0
0.665777,0,0,0,0,0,0
0.667339,0,0,0,0,0,0
0.668899,0,0,0,0,0,0
0.670457,0,0,0,0,0,0
0.672021,0,0,0,0,0,0
0.673593,0,0,0,0,0,0
0.675154,0,0,0,0,0,0
0.676593,0,0,0,0,0,0
0.678128,0,0,0,0,0,0
0.679733,0,0,0,0,0,0
0.681296,0,0,0,0,0,0
0.682860,0,0,0,0,0,0
0.684435,0,0,0,0,0,0
0.685996,0,0,0,0,0,0
0.687558,0,0,0,0,0,0
0.689121,0,0,0,0,0,0
0.691962,0,0,0,0,0,0
0.693422,0,0,0,0,0,0
0.698833,0,0,0,0,0,0
0.703157,0,0,0,0,0,0
0.704716,0,0,0,0,0,0
0.706145,0,0,0,0,0,0
0.707545,0,0,0,0,0,0
0.708938,0,0,0,0,0,0
0.710330,0,0,0,0,0,0
0.711766,0,0,0,0,0,0
0.713163,0,0,0,0,0,0
0.714559,0,0,0,0,0,0
0.715959,0,0,0,0,0,0
0.717372,0,0,0,0,0,0
0.718771,0,0,0,0,0,0
0.720165,0,0,0,0,0,0
0.721562,0,0,0,0,0,0
0.722959,0,0,0,0,0,0
0.724356,0,0,0,0,0,0
0.725751,0,0,0,0,0,0
0.727183,0,0,0,0,0,0
0.728595,0,0,0,0,0,0
0.729992,0,0,0,0,0,0
0.731391,0,0,0,0,0,0
0.732787,0,0,0,0,0,0
0.734183,0,0,0,0,0,0
0.735710,0,0,0,0,0,0
0.737270,0,0,0,0,0,0
0.738846,0,0,0,0,0,0
0.740407,0,0,0,0,0,0
0.741966,0,0,0,0,0,0
0.743572,0,0,0,0,0,0
0.745134,0,0,0,0,0,0
0.746792,0,0,0,0,0,0
0.748300,0,0,0,0,0,0
0.749726,0,0,0,0,0,0
0.751130,0,0,0,0,0,0
0.752529,0,0,0,0,0,0
0.753925,0,0,0,0,0,0
0.755324,0,0,0,0,0,0
0.756840,0,0,0,0,0,0
0.758400,0,0,0,0,0,0
0.759914,0,0,0,0,0,0
0.761445,0,0,0,0,0,0
0.763007,0,0,0,0,0,0
0.764568,0,0,0,0,0,0
0.766128,0,0,0,0,0,0
0.767689,0,0,0,0,0,0
0.769250,0,0,0,0,0,0
0.770826,0,0,0,0,0,0
0.772387,0,0,0,0,0,0
0.773946,0,0,0,0,0,0
0.775386,0,0,0,0,0,0
0.776922,0,0,0,0,0,0
0.778482,0,0,0,0,0,0
0.780048,0,0,0,0,0,0
0.781623,0,0,0,0,0,0
0.783187,0,0,0,0,0,0
0.784748,0,0,0,0,0,0
0.786310,0,0,0,0,0,0
0.787872,0,0,0,0,0,0
0.789432,0,0,0,0,0,0
0.790996,0,0,0,0,0,0
0.792616,0,0,0,0,0,0
0.794177,0,0,0,0,0,0
0.795739,0,0,0,0,0,0
0.797292,0,0,0,0,0,0
0.799421,0,0,0,0,0,0
0.800820,0,0,0,0,0,0
0.802223,0,0,0,0,0,0
0.803760,0,0,0,0,0,0
0.805322,0,0,0,0,0,0
0.806884,0,0,0,0,0,0
0.808493,0,0,0,0,0,0
0.810053,0,0,0,0,0,0
0.811614,0,0,0,0,0,0
0.813168,0,0,0,0,0,0
0.814845,0,0,0,0,0,0
0.816282,0,0,0,0,0,0
0.817815,0,0,0,0,0,0
0.819376,0,0,0,0,0,0
0.820935,0,0,0,0,0,0
0.822493,0,0,0,0,0,0
0.824058,0,0,0,0,0,0
0.825628,0,0,0,0,0,0
0.827189,0,0,0,0,0,0
0.828748,0,0,0,0,0,0
0.830307,0,0,0,0,0,0
0.831867,0,0,0,0,0,0
0.833426,0,0,0,0,0,0
0.834988,0,0,0,0,0,0
0.836560,0,0,0,0,0,0
0.838116,0,0,0,0,0,0
0.839718,0,0,0,0,0,0
0.841279,0,0,0,0,0,0
0.842840,0,0,0,0,0,0
0.844399,0,0,0,0,0,0
0.845957,0,0,0,0,0,0
0.847530,0,0,0,0,0,0
0.849091,0,0,0,0,0,0
0.850649,0,0,0,0,0,0
0.852071,0,0,0,0,0,0
0.853600,0,0,0,0,0,0
0.855204,0,0,0,0,0,0
0.856765,0,0,0,0,0,0
0.858233,0,0,0,0,0,0
0.859767,0,0,0,0,0,0
0.861327,0,0,0,0,0,0
0.862887,0,0,0,0,0,0
0.864447,0,0,0,0,0,0
0.866005,0,0,0,0,0,0
0.867564,0,0,0,0,0,0
0.869135,0,0,0,0,0,0
0.870760,0,0,0,0,0,0
0.872426,0,0,0,0,0,0
0.873984,0,0,0,0,0,0
0.875545,0,0,0,0,0,0
0.877105,0,0,0,0,0,0
0.878663,0,0,0,0,0,0
0.880051,0,0,0,0,0,0
0.881452,0,0,0,0,0,0
0.882981,0,0,0,0,0,0
0.884540,0,0,0,0,0,0
0.886097,0,0,0,0,0,0
0.887701,0,0,0,0,0,0
0.889260,0,0,0,0,0,0
0.890835,0,0,0,0,0,0
0.892436,0,0,0,0,0,0
0.893993,0,0,0,0,0,0
0.895552,0,0,0,0,0,0
0.897111,0,0,0,0,0,0
0.898669,0,0,0,0,0,0
0.900194,0,0,0,0,0,0
0.901606,0,0,0,0,0,0
0.903179,0,0,0,0,0,0
0.904740,0,0,0,0,0,0
0.906297,0,0,0,0,0,0
0.907854,0,0,0,0,0,0
0.909496,0,0,0,0,0,0
0.911059,0,0,0,0,0,0
0.912633,0,0,0,0,0,0
0.914193,0,0,0,0,0,0
0.915755,0,0,0,0,0,0
0.917306,0,0,0,0,0,0
0.918938,0,0,0,0,0,0
0.920543,0,0,0,0,0,0
0.922102,0,0,0,0,0,0
0.923677,0,0,0,0,0,0
0.925237,0,0,0,0,0,0
0.926801,0,0,0,0,0,0
0.928363,0,0,0,0,0,0
0.929922,0,0,0,0,0,0
0.931483,0,0,0,0,0,0
0.933045,0,0,0,0,0,0
0.934618,0,0,0,0,0,0
0.936185,0,0,0,0,0,0
0.937745,0,0,0,0,0,0
0.939308,0,0,0,0,0,0
