elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.281555,0,0,0,0,0,0,0,0,0,0,0,0,0
0.283012,0,0,0,0,0,0,0,0,0,0,0,0,0
0.284409,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285803,0,0,0,0,0,0,0,0,0,0,0,0,0
0.287189,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288630,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290070,0,0,0,0,0,0,0,0,0,0,0,0,0
0.291482,0,0,0,0,0,0,0,0,0,0,0,0,0
0.292869,0,0,0,0,0,0,0,0,0,0,0,0,0
0.294285,0,0,0,0,0,0,0,0,0,0,0,0,0
0.295646,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297051,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298401,0,0,0,0,0,0,0,0,0,0,0,0,0
0.299750,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301149,0,0,0,0,0,0,0,0,0,0,0,0,0
0.302487,0,0,0,0,0,0,0,0,0,0,0,0,0
0.303823,0,0,0,0,0,0,0,0,0,0,0,0,0
0.305221,0,0,0,0,0,0,0,0,0,0,0,0,0
0.306561,0,0,0,0,0,0,0,0,0,0,0,0,0
0.307944,0,0,0,0,0,0,0,0,0,0,0,0,0
0.309256,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310651,0,0,0,0,0,0,0,0,0,0,0,0,0
0.312045,0,0,0,0,0,0,0,0,0,0,0,0,0
0.313503,0,0,0,0,0,0,0,0,0,0,0,0,0
0.314900,0,0,0,0,0,0,0,0,0,0,0,0,0
0.316311,0,0,0,0,0,0,0,0,0,0,0,0,0
0.317694,0,0,0,0,0,0,0,0,0,0,0,0,0
0.319103,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320499,0,0,0,0,0,0,0,0,0,0,0,0,0
0.322011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.323397,0,0,0,0,0,0,0,0,0,0,0,0,0
0.324797,0,0,0,0,0,0,0,0,0,0,0,0,0
0.326258,0,0,0,0,0,0,0,0,0,0,0,0,0
0.327748,0,0,0,0,0,0,0,0,0,0,0,0,0
0.329194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330638,0,0,0,0,0,0,0,0,0,0,0,0,0
0.332074,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333600,0,0,0,0,0,0,0,0,0,0,0,0,0
0.335042,0,0,0,0,0,0,0,0,0,0,0,0,0
0.336543,0,0,0,1908,0,0,0,0,0,0,0,0,0
0.337992,0,0,0,0,0,0,0,0,0,0,0,0,0
0.339424,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340854,0,0,0,0,0,0,0,0,0,0,0,0,0
0.342286,0,0,0,0,0,0,0,0,0,0,0,0,0
0.343717,0,0,0,0,0,0,0,0,0,0,0,0,0
0.345148,0,0,0,0,0,0,0,0,0,0,0,0,0
0.346671,735861,1740463,0,4119879,849357,3237558,1883061,5269235,4361466,5269211,4361466,24,24
0.347973,0,0,0,0,0,0,0,0,0,0,0,0,0
0.349602,0,0,0,0,0,0,0,0,0,0,0,0,0
0.351019,0,0,0,0,0,0,0,0,0,0,0,0,0
0.352528,0,0,0,0,0,0,0,0,0,0,0,0,0
0.353964,0,0,0,0,0,0,0,0,0,0,0,0,0
0.355399,0,0,0,0,0,0,0,0,0,0,0,0,0
0.356834,0,0,0,0,0,0,0,0,0,0,0,0,0
0.358269,0,0,0,0,0,0,0,0,0,0,0,0,0
0.359716,0,0,0,0,0,0,0,0,0,0,0,0,0
0.361245,0,0,0,0,0,0,0,0,0,0,0,0,0
0.362687,0,0,0,0,0,0,0,0,0,0,0,0,0
0.364173,0,0,0,0,0,0,0,0,0,0,0,0,0
0.365643,0,0,0,0,0,0,0,0,0,0,0,0,0
0.367072,0,0,0,0,0,0,0,0,0,0,0,0,0
0.368597,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370040,0,0,0,0,0,0,0,0,0,0,0,0,0
0.371467,0,0,0,0,0,0,0,0,0,0,0,0,0
0.372895,0,0,0,0,0,0,0,0,0,0,0,0,0
0.374322,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375750,0,0,0,0,0,0,0,0,0,0,0,0,0
0.377177,0,0,0,0,0,0,0,0,0,0,0,0,0
0.378607,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380043,0,0,0,0,0,0,0,0,0,0,0,0,0
0.381617,0,0,0,0,0,0,0,0,0,0,0,0,0
0.383038,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384518,0,0,0,0,0,0,0,0,0,0,0,0,0
0.385948,0,0,0,0,0,0,0,0,0,0,0,0,0
0.387375,0,0,0,0,0,0,0,0,0,0,0,0,0
0.388805,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390247,0,0,0,0,0,0,0,0,0,0,0,0,0
0.391678,0,0,0,0,0,0,0,0,0,0,0,0,0
0.393241,0,0,0,0,0,0,0,0,0,0,0,0,0
0.394717,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396327,0,0,0,0,0,0,0,0,0,0,0,0,0
0.397969,0,0,0,0,0,0,0,0,0,0,0,0,0
0.399566,0,0,0,0,0,0,0,0,0,0,0,0,0
0.401177,0,0,0,0,0,0,0,0,0,0,0,0,0
0.402775,0,0,0,0,0,0,0,0,0,0,0,0,0
0.404417,0,0,0,0,0,0,0,0,0,0,0,0,0
0.406017,0,0,0,0,0,0,0,0,0,0,0,0,0
0.407614,0,0,0,0,0,0,0,0,0,0,0,0,0
0.409108,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410704,0,0,0,0,0,0,0,0,0,0,0,0,0
0.412414,0,0,0,0,0,0,0,0,0,0,0,0,0
0.413899,0,0,0,0,0,0,0,0,0,0,0,0,0
0.416009,0,0,0,0,0,0,0,0,0,0,0,0,0
0.417502,0,0,0,0,0,0,0,0,0,0,0,0,0
0.418946,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420421,0,0,0,0,0,0,0,0,0,0,0,0,0
0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0
0.423321,0,0,0,0,0,0,0,0,0,0,0,0,0
0.424942,0,0,0,0,0,0,0,0,0,0,0,0,0
0.426543,0,0,0,0,0,0,0,0,0,0,0,0,0
0.428194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429817,0,0,0,0,0,0,0,0,0,0,0,0,0
0.431416,0,0,0,0,0,0,0,0,0,0,0,0,0
0.433018,0,0,0,0,0,0,0,0,0,0,0,0,0
0.434504,0,0,0,0,0,0,0,0,0,0,0,0,0
0.436074,0,0,0,0,0,0,0,0,0,0,0,0,0
