elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.887111,0,0,0,0
0.888557,0,0,0,0
0.889942,0,0,0,0
0.891326,0,0,0,0
0.892751,0,0,0,0
0.894135,0,0,0,0
0.895688,0,0,0,0
0.897238,0,0,0,0
0.898785,0,0,0,0
0.900335,0,0,0,0
0.901883,0,0,0,0
0.903449,0,0,0,0
0.904998,0,0,0,0
0.906542,0,0,0,0
0.908091,0,0,0,0
0.909640,0,0,0,0
0.911188,0,0,0,0
0.912741,0,0,0,0
0.914302,0,0,0,0
0.915863,0,0,0,0
0.917405,0,0,0,0
0.918842,0,0,0,0
0.920229,0,0,0,0
0.921617,0,0,0,0
0.923003,0,0,0,0
0.924400,0,0,0,0
0.925916,0,0,0,0
0.927468,0,0,0,0
0.929010,0,0,0,0
0.930549,0,0,0,0
0.931966,0,0,0,0
0.933485,0,0,0,0
0.935087,0,0,0,0
0.936640,0,0,0,0
0.938187,0,0,0,0
0.939739,0,0,0,0
0.941289,0,0,0,0
0.942880,0,0,0,0
0.944431,0,0,0,0
0.945995,0,0,0,0
0.947548,0,0,0,0
0.949099,0,0,0,0
0.950689,0,0,0,0
0.952239,0,0,0,0
0.953790,0,0,0,0
0.955406,0,0,0,0
0.957033,0,0,0,0
0.958625,0,0,0,0
0.960179,0,0,0,0
0.961730,0,0,0,0
0.963278,0,0,0,0
0.964814,0,0,0,0
0.966377,0,0,0,0
0.967941,0,0,0,0
0.969493,0,0,0,0
0.971042,0,0,0,0
0.972689,0,0,0,0
0.974237,0,0,0,0
0.975790,0,0,0,0
0.977412,0,0,0,0
0.978848,0,0,0,0
0.980247,0,0,0,0
0.981637,0,0,0,0
0.983068,0,0,0,0
0.984517,0,0,0,0
0.985904,0,0,0,0
0.987478,0,0,0,0
0.989040,0,0,0,0
0.990632,0,0,0,0
0.992185,0,0,0,0
0.993735,0,0,0,0
0.995283,0,0,0,0
0.996839,0,0,0,0
0.998430,0,0,0,0
0.999995,0,0,0,0
1.001545,0,0,0,0
1.003094,0,0,0,0
1.004650,0,0,0,0
1.006199,0,0,0,0
1.007845,0,0,0,0
1.009432,0,0,0,0
1.010992,0,0,0,0
1.012608,0,0,0,0
1.014158,0,0,0,0
1.015757,0,0,0,0
1.017308,0,0,0,0
1.018857,0,0,0,0
1.020407,0,0,0,0
1.021973,0,0,0,0
1.023523,0,0,0,0
1.025072,0,0,0,0
1.026619,0,0,0,0
1.028170,0,0,0,0
1.029718,0,0,0,0
1.031267,0,0,0,0
1.032829,0,0,0,0
1.034370,0,0,0,0
1.035785,0,0,0,0
1.037305,0,0,0,0
1.038894,0,0,0,0
1.040442,0,0,0,0
