elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.261609,0,0,0,0
0.263021,0,0,0,0
0.264382,0,0,0,0
0.265757,0,0,0,0
0.267210,0,0,0,0
0.268635,0,0,0,0
0.270045,0,0,0,0
0.271582,0,0,0,0
0.273195,0,0,222,216
0.277144,0,0,0,0
0.278534,0,0,0,0
0.279917,0,0,0,0
0.281360,0,0,0,0
0.282759,0,0,1329,1227
0.284146,0,0,0,0
0.285533,0,0,0,0
0.286918,0,0,0,0
0.288304,0,0,0,0
0.289688,0,0,0,0
0.291100,0,0,0,0
0.292515,0,0,0,0
0.293900,0,0,0,0
0.295363,0,0,0,0
0.296744,0,0,0,0
0.298171,0,0,0,0
0.299552,0,0,0,0
0.300931,0,0,0,0
0.306248,0,0,0,0
0.307645,0,0,0,0
0.309143,0,0,0,0
0.311671,0,0,0,0
0.313091,0,0,0,0
0.314522,0,0,0,0
0.315907,0,0,0,0
0.317290,0,0,0,0
0.318840,0,0,0,0
0.320236,0,0,0,0
0.321579,0,0,0,0
0.322920,0,0,0,0
0.324261,0,0,0,0
0.325600,0,0,0,0
0.326942,0,0,0,0
0.328282,0,0,0,0
0.329766,0,0,0,0
0.331202,0,0,0,0
0.332722,0,0,0,0
0.334270,0,0,0,0
0.335820,0,0,0,0
0.337367,0,0,0,0
0.338919,0,0,0,0
0.340482,0,0,0,0
0.342030,0,0,0,0
0.343605,0,0,0,0
0.345195,0,0,0,0
0.346643,0,0,0,0
0.348188,0,0,0,0
0.349736,0,0,0,0
0.351298,0,0,0,0
0.352849,0,0,0,0
0.354401,0,0,0,0
0.355950,0,0,0,0
0.357498,0,0,0,0
0.359048,0,0,0,0
0.360641,0,0,0,0
0.362282,0,0,0,0
0.363769,0,0,0,0
0.365288,0,0,0,0
0.366840,0,0,0,0
0.368389,0,0,0,0
0.369937,0,0,0,0
0.371491,0,0,0,0
0.373050,0,0,0,0
0.374602,0,0,0,0
0.376152,0,0,0,0
0.377743,0,0,0,0
0.379293,0,0,0,0
0.380843,0,0,0,0
0.382395,0,0,0,0
0.383959,0,0,0,0
0.385506,0,0,0,0
0.387055,0,0,0,0
0.388481,0,0,0,0
0.390004,0,0,0,0
0.391560,0,0,0,0
0.393109,0,0,0,0
0.394568,0,0,0,0
0.396148,0,0,0,0
0.397504,0,0,0,0
0.398888,0,0,0,0
0.400220,0,0,0,0
0.401551,0,0,0,0
0.402931,0,0,0,0
0.404269,0,0,0,0
0.405628,0,0,0,0
0.406965,0,0,0,0
0.408302,0,0,0,0
0.409691,0,0,0,0
0.411004,0,0,0,0
0.412313,0,0,0,0
0.413622,0,0,0,0
0.414933,0,0,0,0
0.416251,0,0,0,0
0.417560,0,0,0,0
0.418869,0,0,0,0
0.420177,0,0,0,0
