elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.657534,0,0,0,0
0.658840,0,0,0,0
0.660160,0,0,0,0
0.661564,0,0,0,0
0.662840,0,0,0,0
0.664208,0,0,0,0
0.665574,0,0,0,0
0.666950,0,0,0,0
0.668346,0,0,0,0
0.669732,0,0,0,0
0.671112,0,0,0,0
0.672495,0,0,0,0
0.673917,0,0,0,0
0.675301,0,0,0,0
0.676683,0,0,0,0
0.678070,0,0,0,0
0.679485,0,0,0,0
0.680866,0,0,0,0
0.682249,0,0,0,0
0.683903,0,0,0,0
0.685930,0,0,0,0
0.687391,0,0,0,0
0.688834,0,0,0,0
0.690222,0,0,0,0
0.691684,0,0,0,0
0.693074,0,0,0,0
0.694468,0,0,0,0
0.695855,0,0,0,0
0.697242,0,0,0,0
0.698663,0,0,0,0
0.700511,0,0,0,0
0.701892,0,0,0,0
0.703271,0,0,0,0
0.704666,0,0,0,0
0.706079,0,0,0,0
0.707503,0,0,0,0
0.708902,0,0,0,0
0.710288,0,0,0,0
0.711828,0,0,0,0
0.715025,0,0,0,0
0.716407,0,0,0,0
0.717787,0,0,0,0
0.719166,0,0,0,0
0.720618,0,0,0,0
0.721997,0,0,0,0
0.723375,0,0,0,0
0.724833,0,0,0,0
0.726228,0,0,0,0
0.727617,0,0,0,0
0.729002,0,0,0,0
0.730423,0,0,0,0
0.731812,0,0,0,0
0.733198,0,0,0,0
0.734582,0,0,0,0
0.736100,0,0,0,0
0.737667,0,0,0,0
0.739215,0,0,0,0
0.740770,0,0,0,0
0.742319,0,0,0,0
0.743871,0,0,0,0
0.745421,0,0,0,0
0.747013,0,0,0,0
0.748575,0,0,0,0
0.750126,0,0,0,0
0.751679,0,0,0,0
0.753230,0,0,0,0
0.754777,0,0,0,0
0.756328,0,0,0,0
0.757880,0,0,0,0
0.759315,0,0,0,0
0.760842,0,0,0,0
0.762433,0,0,0,0
0.763985,0,0,0,0
0.765536,0,0,0,0
0.767086,0,0,0,0
0.768586,0,0,0,0
0.770117,0,0,0,0
0.771669,0,0,0,0
0.773220,0,0,0,0
0.774769,0,0,0,0
0.776319,0,0,0,0
0.777871,0,0,0,0
0.779477,0,0,0,0
0.781037,0,0,0,0
0.782586,0,0,0,0
0.784139,0,0,0,0
0.785680,0,0,0,0
0.787221,0,0,0,0
0.788805,0,0,0,0
0.790353,0,0,0,0
0.791793,0,0,0,0
0.793314,0,0,0,0
0.794904,0,0,0,0
0.796452,0,0,0,0
0.798092,0,0,0,0
0.799495,0,0,0,0
0.800879,0,0,0,0
0.802270,0,0,0,0
0.803664,0,0,0,0
0.805043,0,0,0,0
0.806420,0,0,0,0
0.807870,0,0,0,0
0.809250,0,0,0,0
0.810670,0,0,0,0
0.812051,0,0,0,0
0.813439,0,0,0,0
0.814816,0,0,0,0
0.816194,0,0,0,0
0.817571,0,0,0,0
0.818948,0,0,0,0
0.820324,0,0,0,0
0.821701,0,0,0,0
0.823078,0,0,0,0
0.824463,0,0,0,0
0.825841,0,0,0,0
0.827268,0,0,0,0
0.828607,0,0,0,0
0.829959,0,0,0,0
0.831311,0,0,0,0
0.832693,0,0,0,0
0.834047,0,0,0,0
0.835407,0,0,0,0
0.836882,0,0,0,0
0.838235,0,0,0,0
0.839594,0,0,0,0
0.840948,0,0,0,0
0.842302,0,0,0,0
0.843683,0,0,0,0
0.845163,0,0,0,0
0.846509,0,0,0,0
0.847849,0,0,0,0
0.849188,0,0,0,0
0.850526,0,0,0,0
0.851864,0,0,0,0
0.853204,0,0,0,0
0.854542,0,0,0,0
0.855880,0,0,0,0
0.857224,0,0,0,0
0.858593,0,0,0,0
0.860004,0,0,0,0
0.861416,0,0,0,0
0.862827,0,0,0,0
0.864238,0,0,0,0
0.865647,0,0,0,0
0.867056,0,0,0,0
0.868473,0,0,0,0
0.869900,0,0,0,0
0.871313,0,0,0,0
0.872724,0,0,0,0
0.874026,0,0,0,0
0.875465,0,0,0,0
0.879578,0,0,0,0
0.880989,0,0,0,0
0.882490,0,0,0,0
0.884095,0,0,0,0
0.885975,0,0,0,0
0.887357,0,0,0,0
0.888730,0,0,0,0
0.890122,0,0,0,0
0.891556,0,0,0,0
0.892930,0,0,0,0
0.894302,0,0,0,0
0.895654,0,0,0,0
0.897005,0,0,0,0
0.898351,0,0,0,0
0.899696,0,0,0,0
0.901128,0,0,0,0
0.902472,0,0,0,0
0.903808,0,0,0,0
0.905273,0,0,0,0
0.906652,0,0,0,0
0.908270,0,0,0,0
0.909653,0,0,0,0
0.911032,0,0,0,0
0.915504,0,0,0,0
0.916926,0,0,0,0
0.918313,0,0,0,0
0.921261,0,0,0,0
0.922701,0,0,0,0
0.924085,0,0,0,0
0.925472,0,0,0,0
