elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.741690,0,0,0,0
0.743029,0,0,0,0
0.744396,0,0,0,0
0.745806,0,0,0,0
0.747216,0,0,0,0
0.748625,0,0,0,0
0.750067,0,0,0,0
0.751481,0,0,0,0
0.752904,0,0,0,0
0.754315,0,0,0,0
0.755726,0,0,0,0
0.757140,0,0,0,0
0.758509,0,0,0,0
0.759937,0,0,0,0
0.761372,0,0,0,0
0.762774,0,0,0,0
0.764152,0,0,0,0
0.765990,0,0,0,0
0.767462,0,0,0,0
0.768849,0,0,0,0
0.770279,0,0,0,0
0.771713,105,105,105,105
0.773358,0,0,0,0
0.774741,0,0,0,0
0.776169,0,0,0,0
0.777549,0,0,0,0
0.778932,0,0,0,0
0.780310,0,0,0,0
0.781693,0,0,0,0
0.783088,735,735,735,735
0.784509,0,0,0,0
0.785889,0,0,0,0
0.787273,0,0,0,0
0.788656,0,0,0,0
0.790133,0,0,0,0
0.791517,0,0,0,0
0.792943,0,0,0,0
0.794338,0,0,0,0
0.795720,0,0,0,0
0.797862,0,0,0,0
0.799247,0,0,0,0
0.800667,0,0,0,0
0.802149,0,0,0,0
0.803527,0,0,0,0
0.804915,0,0,0,0
0.806341,0,0,0,0
0.807729,0,0,0,0
0.809347,0,0,0,0
0.810707,0,0,0,0
0.812084,0,0,0,0
0.813460,0,0,0,0
0.814835,0,0,0,0
0.816215,0,0,0,0
0.817572,0,0,0,0
0.819189,0,0,0,0
0.820545,0,0,0,0
0.821900,0,0,0,0
0.823257,0,0,0,0
0.824649,0,0,0,0
0.826028,0,0,0,0
0.827416,0,0,0,0
0.828921,0,0,0,0
0.830524,0,0,0,0
0.831985,0,0,0,0
0.833504,0,0,0,0
0.835516,0,0,0,0
0.837070,0,0,0,0
0.838630,0,0,0,0
0.840219,0,0,0,0
0.841770,0,0,0,0
0.843319,0,0,0,0
0.844866,0,0,0,0
0.846422,0,0,0,0
0.848010,0,0,0,0
0.849586,0,0,0,0
0.851123,0,0,0,0
0.852523,0,0,0,0
0.854042,0,0,0,0
0.855595,0,0,0,0
0.857149,0,0,0,0
0.858700,0,0,0,0
0.860138,0,0,0,0
0.861664,0,0,0,0
0.863216,0,0,0,0
0.864767,0,0,0,0
0.866323,0,0,0,0
0.867872,0,0,0,0
0.869425,0,0,0,0
0.870863,0,0,0,0
0.872428,0,0,0,0
0.873980,0,0,0,0
0.875532,0,0,0,0
0.877085,0,0,0,0
0.878637,0,0,0,0
0.880231,0,0,0,0
0.881795,0,0,0,0
0.883347,0,0,0,0
0.884898,0,0,0,0
0.886454,0,0,0,0
0.888046,0,0,0,0
0.889600,0,0,0,0
0.891152,0,0,0,0
0.892715,0,0,0,0
0.894271,0,0,0,0
0.895821,0,0,0,0
0.897417,0,0,0,0
0.898968,0,0,0,0
0.900518,0,0,0,0
0.902070,0,0,0,0
0.903635,0,0,0,0
0.905232,0,0,0,0
0.906784,0,0,0,0
0.908335,0,0,0,0
0.909887,0,0,0,0
0.911439,0,0,0,0
0.912993,0,0,0,0
0.914558,0,0,0,0
0.916108,0,0,0,0
0.917661,0,0,0,0
0.919212,0,0,0,0
0.920764,0,0,0,0
0.922321,0,0,0,0
0.923869,0,0,0,0
0.925435,0,0,0,0
0.926986,0,0,0,0
0.928578,0,0,0,0
0.930129,0,0,0,0
0.931681,0,0,0,0
0.933234,0,0,0,0
0.934782,0,0,0,0
0.936387,0,0,0,0
0.937939,0,0,0,0
0.939489,0,0,0,0
0.941041,0,0,0,0
0.942592,0,0,0,0
0.944184,0,0,0,0
0.945736,0,0,0,0
0.947301,0,0,0,0
0.948852,0,0,0,0
0.950409,0,0,0,0
0.952000,0,0,0,0
0.953554,0,0,0,0
0.955105,0,0,0,0
0.956655,0,0,0,0
0.958158,0,0,0,0
0.959678,0,0,0,0
0.961274,0,0,0,0
0.962825,0,0,0,0
0.964374,0,0,0,0
0.965924,0,0,0,0
0.967475,0,0,0,0
0.969042,0,0,0,0
0.970593,0,0,0,0
0.972144,0,0,0,0
0.973696,0,0,0,0
0.975248,0,0,0,0
0.976799,0,0,0,0
0.978378,0,0,0,0
0.979941,0,0,0,0
0.981494,0,0,0,0
0.983035,0,0,0,0
0.984616,0,0,0,0
0.986041,0,0,0,0
0.987454,0,0,0,0
0.989002,0,0,0,0
0.990566,0,0,0,0
0.992159,0,0,0,0
0.993710,0,0,0,0
0.995260,0,0,0,0
0.996808,0,0,0,0
0.998350,0,0,0,0
0.999739,0,0,0,0
1.001310,0,0,0,0
1.002860,0,0,0,0
1.004409,0,0,0,0
1.005961,0,0,0,0
1.007511,0,0,0,0
1.009067,0,0,0,0
1.010618,0,0,0,0
1.012180,0,0,0,0
1.013732,0,0,0,0
1.015282,0,0,0,0
1.016831,0,0,0,0
1.018386,0,0,0,0
1.019934,0,0,0,0
1.021485,0,0,0,0
1.023048,0,0,0,0
1.024639,0,0,0,0
1.026251,0,0,0,0
1.027799,0,0,0,0
1.029352,0,0,0,0
1.030902,0,0,0,0
1.032493,0,0,0,0
1.034057,0,0,0,0
1.035607,0,0,0,0
1.037160,0,0,0,0
1.038710,0,0,0,0
1.040301,0,0,0,0
1.041853,0,0,0,0
1.043404,0,0,0,0
1.045048,0,0,0,0
1.046661,0,0,0,0
1.048251,0,0,0,0
1.049803,0,0,0,0
1.051251,0,0,0,0
1.052775,0,0,0,0
1.054327,0,0,0,0
1.055888,0,0,0,0
1.057315,0,0,0,0
1.058839,0,0,0,0
1.060388,0,0,0,0
1.061939,0,0,0,0
1.063490,0,0,0,0
1.065045,0,0,0,0
1.066610,0,0,0,0
1.068160,0,0,0,0
1.069713,0,0,0,0
1.071264,0,0,0,0
1.072816,0,0,0,0
1.074372,0,0,0,0
1.075966,0,0,0,0
1.077530,0,0,0,0
1.079081,0,0,0,0
1.080672,0,0,0,0
1.082203,0,0,0,0
1.083598,0,0,0,0
1.084989,0,0,0,0
1.086377,0,0,0,0
1.087772,0,0,0,0
1.089204,0,0,0,0
1.090590,0,0,0,0
1.091976,0,0,0,0
