elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.690312,0,0,0,0
0.691956,0,0,0,0
0.693557,0,0,0,0
0.695152,0,0,0,0
0.696704,0,0,0,0
0.698254,0,0,0,0
0.699674,0,0,0,0
0.701194,0,0,0,0
0.702677,0,0,0,0
0.704202,0,0,0,0
0.705753,0,0,0,0
0.707306,0,0,0,0
0.708858,0,0,0,0
0.710408,0,0,0,0
0.712010,0,0,0,0
0.713574,0,0,0,0
0.715128,0,0,0,0
0.716680,0,0,0,0
0.718230,0,0,0,0
0.719782,0,0,0,0
0.721334,0,0,0,0
0.722886,0,0,0,0
0.724449,0,0,0,0
0.725872,0,0,0,0
0.727266,0,0,0,0
0.728703,0,0,0,0
0.730305,0,0,0,0
0.731877,0,0,0,0
0.733272,0,0,0,0
0.734923,0,0,0,0
0.737634,0,0,0,0
0.739022,0,0,0,0
0.740403,0,0,0,0
0.741782,0,0,0,0
0.743165,0,0,0,0
0.744552,0,0,0,0
0.745961,0,0,0,0
0.747350,0,0,0,0
0.748735,0,0,0,0
0.750120,0,0,0,0
0.751543,0,0,0,0
0.752929,0,0,0,0
0.754329,0,0,0,0
0.756057,0,0,0,0
0.757443,0,0,0,0
0.758826,0,0,0,0
0.760212,0,0,0,0
0.761950,0,0,0,0
0.763346,0,0,0,0
0.764920,0,0,0,0
0.766474,0,0,0,0
0.767890,0,0,0,0
0.769280,0,0,0,0
0.770799,0,0,0,0
0.772351,0,0,0,0
0.773902,0,0,0,0
0.775501,0,0,0,0
0.777069,0,0,0,0
0.778697,0,0,0,0
0.780190,0,0,0,0
0.781715,0,0,0,0
0.783312,0,0,0,0
0.784866,0,0,0,0
0.786415,0,0,0,0
0.787987,0,0,0,0
0.789538,0,0,0,0
0.791137,0,0,0,0
0.792691,0,0,0,0
0.794242,0,0,0,0
0.795795,0,0,0,0
0.797348,0,0,0,0
0.798958,0,0,0,0
0.800512,0,0,0,0
0.802062,0,0,0,0
0.803615,0,0,0,0
0.805169,0,0,0,0
0.806765,0,0,0,0
0.808319,0,0,0,0
0.809884,0,0,0,0
0.811439,0,0,0,0
0.812992,0,0,0,0
0.814543,0,0,0,0
0.816146,0,0,0,0
0.817698,0,0,0,0
0.819253,0,0,0,0
0.820819,0,0,0,0
