elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.740629,0,0,0,0
0.742158,0,0,0,0
0.743707,0,0,0,0
0.745270,0,0,0,0
0.746871,0,0,0,0
0.748421,0,0,0,0
0.749918,0,0,0,0
0.751331,0,0,0,0
0.752732,0,0,0,0
0.754118,0,0,0,0
0.755512,0,0,0,0
0.756894,0,0,0,0
0.758275,0,0,0,0
0.759656,0,0,0,0
0.761035,0,0,0,0
0.762417,0,0,0,0
0.763802,0,0,0,0
0.765186,0,0,0,0
0.766580,0,0,0,0
0.768096,0,0,0,0
0.769689,0,0,0,0
0.771241,0,0,0,0
0.772789,0,0,0,0
0.774342,0,0,0,0
0.775894,0,0,0,0
0.777454,0,0,0,0
0.779055,0,0,0,0
0.780605,0,0,0,0
0.782157,0,0,0,0
0.783709,0,0,0,0
0.785258,0,0,0,0
0.786856,0,0,0,0
0.788419,0,0,0,0
0.789971,0,0,0,0
0.791522,0,0,0,0
0.793070,0,0,0,0
0.794622,0,0,0,0
0.796173,0,0,0,0
0.797726,0,0,0,0
0.799292,0,0,0,0
0.800840,0,0,0,0
0.802394,0,0,0,0
0.803946,0,0,0,0
0.805496,0,0,0,0
0.807046,0,0,0,0
0.808604,0,0,0,0
0.810224,0,0,0,0
0.811778,0,0,0,0
0.813329,0,0,0,0
0.814885,0,0,0,0
0.816437,0,0,0,0
0.818034,0,0,0,0
0.819587,0,0,0,0
0.821151,0,0,0,0
0.822703,0,0,0,0
0.824246,0,0,0,0
0.826039,0,0,0,0
0.827509,0,0,0,0
0.829028,0,0,0,0
0.830579,0,0,0,0
0.832143,0,0,0,0
0.833739,0,0,0,0
0.835774,0,0,0,0
0.837227,0,0,0,0
0.838619,0,0,0,0
0.840004,0,0,0,0
0.841384,0,0,0,0
0.842820,0,0,0,0
0.844205,0,0,0,0
0.845795,0,0,0,0
0.847345,0,0,0,0
0.848894,0,0,0,0
0.850445,0,0,0,0
0.851997,0,0,0,0
0.853625,0,0,0,0
0.855237,0,0,0,0
0.856786,0,0,0,0
0.858382,0,0,0,0
0.859934,0,0,0,0
0.861482,0,0,0,0
0.863038,0,0,0,0
0.864601,0,0,0,0
0.866195,0,0,0,0
0.867755,0,0,0,0
0.869304,0,0,0,0
0.870859,0,0,0,0
0.872408,0,0,0,0
0.874005,0,0,0,0
0.875569,0,0,0,0
0.877125,0,0,0,0
0.878689,0,0,0,0
0.880118,0,0,0,0
0.881508,0,0,0,0
0.883070,0,0,0,0
0.884644,0,0,0,0
0.886212,0,0,0,0
0.887763,0,0,0,0
0.889311,0,0,0,0
0.890912,0,0,0,0
0.892460,0,0,0,0
0.894012,0,0,0,0
0.895562,0,0,0,0
0.897124,0,0,0,0
0.898676,0,0,0,0
0.900227,0,0,0,0
0.901779,0,0,0,0
0.903330,0,0,0,0
0.904878,0,0,0,0
0.906429,0,0,0,0
0.907992,0,0,0,0
0.909541,0,0,0,0
0.911145,0,0,0,0
0.912533,0,0,0,0
0.914096,0,0,0,0
0.915647,0,0,0,0
0.917195,0,0,0,0
0.918819,0,0,0,0
0.920370,0,0,0,0
0.921965,0,0,0,0
0.923515,0,0,0,0
0.925063,0,0,0,0
0.926615,0,0,0,0
0.928165,0,0,0,0
0.929771,0,0,0,0
0.931322,0,0,0,0
0.932870,0,0,0,0
0.934420,0,0,0,0
0.935971,0,0,0,0
0.937520,0,0,0,0
0.938937,0,0,0,0
0.940465,0,0,0,0
0.941945,0,0,0,0
0.943347,0,0,0,0
0.944865,0,0,0,0
0.946420,0,0,0,0
0.947972,0,0,0,0
0.949523,0,0,0,0
0.950937,0,0,0,0
0.952330,0,0,0,0
0.953893,0,0,0,0
0.955446,0,0,0,0
0.956996,0,0,0,0
0.958548,0,0,0,0
0.960100,0,0,0,0
0.961710,0,0,0,0
0.963263,0,0,0,0
0.964814,0,0,0,0
0.966368,0,0,0,0
0.967922,0,0,0,0
0.969472,0,0,0,0
0.971075,0,0,0,0
