elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.915520,0,0,0,0
0.916966,0,0,0,0
0.918496,0,0,0,0
0.920051,0,0,0,0
0.921608,0,0,0,0
0.923166,0,0,0,0
0.924727,0,0,0,0
0.926285,0,0,0,0
0.927852,0,0,0,0
0.929455,0,0,0,0
0.931013,0,0,0,0
0.932569,0,0,0,0
0.934133,0,0,0,0
0.935691,0,0,0,0
0.937251,0,0,0,0
0.938822,0,0,0,0
0.940378,0,0,0,0
0.941941,0,0,0,0
0.943497,0,0,0,0
0.945100,0,0,0,0
0.946659,0,0,0,0
0.948216,0,0,0,0
0.949655,0,0,0,0
0.951184,0,0,0,0
0.952743,0,0,0,0
0.954302,0,0,0,0
0.955857,0,0,0,0
0.957418,0,0,0,0
0.958976,0,0,0,0
0.960543,0,0,0,0
0.962152,0,0,0,0
0.963708,0,0,0,0
0.965268,0,0,0,0
0.966827,0,0,0,0
0.968383,0,0,0,0
0.969944,0,0,0,0
0.971515,0,0,0,0
0.973075,0,0,0,0
0.974634,0,0,0,0
0.976189,0,0,0,0
0.977699,0,0,0,0
0.979133,0,0,0,0
0.980500,0,0,0,0
0.982107,0,0,0,0
0.983604,0,0,0,0
0.985027,0,0,0,0
0.986556,0,0,0,0
0.988179,0,0,0,0
0.990150,0,0,0,0
0.991547,0,0,0,0
0.992999,0,0,0,0
0.994393,0,0,0,0
0.995783,0,0,0,0
0.997174,0,0,0,0
0.998697,0,0,0,0
1.000254,0,0,0,0
1.001821,0,0,0,0
1.003392,0,0,0,0
1.004996,0,0,0,0
1.006538,0,0,0,0
1.007957,0,0,0,0
1.009398,0,0,0,0
1.010792,0,0,0,0
1.012182,0,0,0,0
1.013587,0,0,0,0
1.015158,0,0,0,0
1.016771,0,0,0,0
1.018251,0,0,0,0
1.019676,0,0,0,0
1.021273,0,0,0,0
1.022668,0,0,0,0
1.024074,0,0,0,0
1.025507,0,0,0,0
1.026896,0,0,0,0
1.028284,0,0,0,0
1.029672,0,0,0,0
1.031060,0,0,0,0
1.032579,0,0,0,0
1.033957,0,0,0,0
1.035362,0,0,0,0
1.036886,0,0,0,0
1.038443,0,0,0,0
1.039996,0,0,0,0
1.041553,0,0,0,0
1.043110,0,0,0,0
1.044668,0,0,0,0
1.046238,0,0,0,0
1.047792,0,0,0,0
1.049350,0,0,0,0
1.050907,0,0,0,0
1.052462,0,0,0,0
1.054042,0,0,0,0
1.055472,0,0,0,0
1.056932,0,0,0,0
1.058457,0,0,0,0
1.060010,0,0,0,0
1.061544,0,0,0,0
1.063102,0,0,0,0
1.064658,0,0,0,0
1.066213,0,0,0,0
1.067786,0,0,0,0
1.069342,0,0,0,0
1.070774,0,0,0,0
1.072299,0,0,0,0
1.073854,0,0,0,0
1.075378,0,0,0,0
1.076934,0,0,0,0
1.078373,0,0,0,0
1.079897,0,0,0,0
1.081454,0,0,0,0
1.083010,0,0,0,0
1.084564,0,0,0,0
1.086125,0,0,0,0
1.087679,0,0,0,0
1.089290,0,0,0,0
1.090846,0,0,0,0
1.092399,0,0,0,0
1.093958,0,0,0,0
1.095511,0,0,0,0
1.097115,0,0,0,0
1.098670,0,0,0,0
1.100237,0,0,0,0
1.101793,0,0,0,0
1.103348,0,0,0,0
1.104948,0,0,0,0
1.106504,0,0,0,0
1.108058,0,0,0,0
1.109613,0,0,0,0
1.111182,0,0,0,0
1.112740,0,0,0,0
