elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.805286,0,0,0,0
0.807257,0,0,0,0
0.809825,0,0,0,0
0.811242,0,0,0,0
0.812652,0,0,0,0
0.814062,0,0,0,0
0.815472,0,0,0,0
0.816883,0,0,0,0
0.818307,0,0,0,0
0.819679,0,0,0,0
0.821045,0,0,0,0
0.822406,0,0,0,0
0.823767,0,0,0,0
0.825153,0,0,0,0
0.826644,0,0,0,0
0.827988,0,0,0,0
0.829325,0,0,0,0
0.830668,0,0,0,0
0.832023,0,0,0,0
0.833419,0,0,0,0
0.834831,0,0,0,0
0.836227,0,0,0,0
0.837752,0,0,0,0
0.839124,0,0,0,0
0.840496,0,0,0,0
0.842381,0,0,0,0
0.843766,0,0,0,0
0.845175,0,0,0,0
0.847395,0,0,0,0
0.848663,0,0,0,0
0.850053,0,0,0,0
0.851441,0,0,0,0
0.852839,0,0,0,0
0.854253,0,0,0,0
0.855638,0,0,0,0
0.857061,0,0,0,0
0.858580,0,0,0,0
0.860691,0,0,0,0
0.863828,0,0,0,0
0.865225,0,0,0,0
0.871630,0,0,0,0
0.873153,0,0,0,0
0.874556,0,0,0,0
0.875931,0,0,0,0
0.877319,0,0,0,0
0.878659,0,0,0,0
0.879999,0,0,0,0
0.881339,0,0,0,0
0.882678,0,0,0,0
0.884015,0,0,0,0
0.885353,0,0,0,0
0.886701,0,0,0,0
0.888165,0,0,0,0
0.889599,0,0,0,0
0.891121,0,0,0,0
0.892670,0,0,0,0
0.894222,0,0,0,0
0.895773,0,0,0,0
0.897214,0,0,0,0
0.898608,0,0,0,0
0.899996,0,0,0,0
0.901385,0,0,0,0
0.902771,0,0,0,0
0.904200,0,0,0,0
0.905589,0,0,0,0
0.907103,0,0,0,0
0.908665,0,0,0,0
0.910216,0,0,0,0
0.911758,0,0,0,0
0.913323,0,0,0,0
0.914872,0,0,0,0
0.916422,0,0,0,0
0.917974,0,0,0,0
0.919412,0,0,0,0
0.920934,0,0,0,0
0.922488,0,0,0,0
0.924035,0,0,0,0
0.925572,0,0,0,0
0.927193,0,0,0,0
0.928741,0,0,0,0
0.930251,0,0,0,0
0.931770,0,0,0,0
0.933321,0,0,0,0
0.934870,0,0,0,0
0.936460,0,0,0,0
0.938010,0,0,0,0
0.939565,0,0,0,0
0.941130,0,0,0,0
0.942679,0,0,0,0
0.944228,0,0,0,0
0.945778,0,0,0,0
0.947327,0,0,0,0
0.948875,0,0,0,0
0.950427,0,0,0,0
0.951987,0,0,0,0
0.953538,0,0,0,0
0.955089,0,0,0,0
0.956636,0,0,0,0
0.958184,0,0,0,0
0.959734,0,0,0,0
0.961286,0,0,0,0
0.962849,0,0,0,0
0.964397,0,0,0,0
0.965946,0,0,0,0
0.967495,0,0,0,0
0.969044,0,0,0,0
0.970455,0,0,0,0
0.972053,0,0,0,0
0.973490,0,0,0,0
0.975009,0,0,0,0
0.976557,0,0,0,0
0.978105,0,0,0,0
0.979654,0,0,0,0
0.981205,0,0,0,0
0.982755,0,0,0,0
0.984314,0,0,0,0
0.985866,0,0,0,0
0.987415,0,0,0,0
0.988964,0,0,0,0
0.990517,0,0,0,0
0.992064,0,0,0,0
0.993615,0,0,0,0
