elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.367460,0,0,0,0,0,0,0,0
0.369033,0,0,0,0,0,0,0,0
0.370609,0,0,0,0,0,0,0,0
0.372183,0,0,0,0,0,0,0,0
0.373756,0,0,0,0,0,0,0,0
0.375348,0,0,0,0,0,0,0,0
0.376920,0,0,0,0,0,0,0,0
0.378496,0,0,0,0,0,0,0,0
0.380070,0,0,0,0,0,0,0,0
0.381642,0,0,0,0,0,0,0,0
0.383221,0,0,0,0,0,0,0,0
0.384793,0,0,0,0,0,0,0,0
0.386382,0,0,0,0,0,0,0,0
0.387957,0,0,0,0,0,0,0,0
0.389529,0,0,0,0,0,0,0,0
0.391050,0,0,0,0,0,0,0,0
0.392594,0,0,0,0,0,0,0,0
0.394168,0,0,0,0,0,0,0,0
0.395742,0,0,0,0,0,0,0,0
0.397328,0,0,0,0,0,0,0,0
0.398902,0,0,0,0,0,0,0,0
0.400477,0,0,0,0,0,0,0,0
0.402052,0,0,0,0,0,0,0,0
0.403625,0,0,0,0,0,0,0,0
0.405199,0,0,0,0,0,0,0,0
0.406816,0,0,0,0,0,0,0,0
0.408394,0,0,0,0,0,0,0,0
0.410072,0,0,0,0,0,0,0,0
0.411668,0,0,0,0,0,0,0,0
0.413090,0,0,0,0,0,0,0,0
0.414632,0,0,0,0,0,0,0,0
0.416207,0,0,0,0,0,0,0,0
0.417776,0,0,0,0,0,0,0,0
0.419366,0,0,0,0,0,0,0,0
0.420938,0,0,0,0,0,0,0,0
0.422556,0,0,0,0,0,0,0,0
0.424129,0,0,0,0,0,0,0,0
0.425700,0,0,0,0,0,0,0,0
0.427278,0,0,0,0,0,0,0,0
0.428849,0,0,0,0,0,0,0,0
0.430438,0,0,0,0,0,0,0,0
0.432012,0,0,0,0,0,0,0,0
0.433584,0,0,0,0,0,0,0,0
0.435118,0,0,0,0,0,0,0,0
0.436661,0,0,0,0,0,0,0,0
0.438236,0,0,0,0,0,0,0,0
0.439809,0,0,0,0,0,0,0,0
0.441394,0,0,0,0,0,0,0,0
0.442967,0,0,0,0,0,0,0,0
0.444531,0,0,0,0,0,0,0,0
0.446065,0,0,0,0,0,0,0,0
0.447638,0,0,0,0,0,0,0,0
0.449208,0,0,0,0,0,0,0,0
0.450779,0,0,0,0,0,0,0,0
0.452362,0,0,0,0,0,0,0,0
0.453937,0,0,0,0,0,0,0,0
0.455509,0,0,0,0,0,0,0,0
0.457079,0,0,0,0,0,0,0,0
0.458654,0,0,0,0,0,0,0,0
0.460225,0,0,0,0,0,0,0,0
0.461794,0,0,0,0,0,0,0,0
0.463383,0,0,0,0,0,0,0,0
0.464953,0,0,0,0,0,0,0,0
0.466526,0,0,0,0,0,0,0,0
0.468093,0,0,0,0,0,0,0,0
0.469661,0,0,0,0,0,0,0,0
0.471237,0,0,0,0,0,0,0,0
0.472807,0,0,0,0,0,0,0,0
0.474392,0,0,0,0,0,0,0,0
