elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.614431,0,386969,3761,2371
0.615822,0,386513,3756,2369
0.617356,0,399267,3883,2465
0.618912,0,398035,3869,2324
0.620464,0,397028,3862,2370
0.622017,0,397547,3866,2369
0.623572,0,396733,3858,2364
0.625170,0,398286,3872,2367
0.626725,0,396155,3851,2420
0.628291,0,395840,3850,2373
0.629847,0,398073,3871,2500
0.631401,0,397326,3863,2332
0.632954,0,382472,3717,2371
0.634363,0,388542,3777,2365
0.635756,0,385178,3743,2390
0.637277,0,397319,3863,2411
0.638844,0,397993,3869,2369
0.640396,0,397270,3864,2418
0.641953,0,397170,3862,2325
0.643506,0,396587,3856,2331
0.645062,0,398303,3873,2369
0.646617,0,395881,3849,2368
0.648170,0,397323,3864,2332
0.649739,0,399199,3883,2369
0.651294,0,398003,3870,2371
0.652846,0,402843,3918,2330
0.654457,0,398098,3871,2423
0.656010,0,396137,3852,2370
0.657607,0,398110,3870,2390
0.659162,0,397864,3869,2371
0.660729,0,402630,3916,2323
0.662287,0,396508,3856,2370
0.663839,0,398557,3876,2367
0.665395,0,398938,3880,2368
0.666951,0,396777,3858,2410
0.668503,0,395892,3848,2448
0.670057,0,397830,3868,2374
0.671623,0,396109,3852,2373
0.673224,0,399885,3889,2405
0.674780,0,396328,3854,2368
0.676375,0,397378,3864,2573
0.677927,0,396698,3858,2374
0.679481,0,397780,3870,2373
0.681039,0,398209,3872,2326
0.682607,0,397361,3863,2367
0.684159,0,397644,3867,2400
0.685715,0,398841,3879,2363
0.687271,0,397934,3869,2371
0.688823,0,445799,4345,2339
0.690422,0,392639,3816,2369
0.691965,0,391927,3811,2373
0.693396,0,385846,3750,2480
0.694920,0,395793,3850,2369
0.696471,0,395448,3844,2327
0.698023,0,396079,3852,2379
0.699576,0,397373,3864,2329
0.701130,0,392840,3820,2360
0.702556,0,391163,3802,2368
0.704096,0,395192,3843,2373
0.705696,0,399187,3883,2325
0.707251,0,397494,3864,2370
0.708804,0,401340,3904,2400
0.710361,0,548713,5367,2374
0.711965,0,406680,3957,2321
0.713372,0,387723,3768,2328
0.714774,0,349714,3390,2382
0.716124,0,386192,3754,2362
0.717512,0,386433,3754,2366
0.718900,0,386132,3753,2366
0.720286,0,387039,3763,2605
0.721718,0,386485,3756,2334
0.723105,0,385827,3749,2366
0.724621,0,397734,3868,2333
0.726247,0,396534,3855,2373
0.727928,0,683915,6710,2367
0.729664,0,392966,3820,2335
0.731069,0,389415,3785,2365
0.732460,0,386545,3758,2474
0.733850,0,387933,3771,2368
0.735238,0,387438,3765,2332
0.736635,0,386704,3759,2363
0.738200,0,408127,3971,2540
0.739639,0,388284,3774,2415
0.741042,0,389585,3788,2374
0.742432,0,385628,3747,2371
0.743820,0,385972,3751,2326
0.745209,0,386291,3756,2404
0.746596,0,386119,3752,2372
0.748128,0,397762,3867,2363
0.749684,0,397287,3864,2475
0.751238,0,396096,3851,2370
0.752791,0,464913,4508,2369
0.754292,0,388886,3813,2373
0.755821,0,399281,3875,2444
0.757377,0,398290,3873,2521
0.758944,0,398052,3871,2508
0.760497,0,396883,3859,2372
0.762051,0,398514,3876,2333
0.763606,0,397882,3868,2367
0.765163,0,398017,3871,2303
0.766718,0,397393,3864,2368
