elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.322301,18,231,1848,0,0,0,0,0,0,0,0,0,0,0
0.323692,18,251,1696,0,0,0,0,0,0,0,0,0,0,0
0.325132,18,235,1581,0,0,0,0,0,0,0,0,0,0,0
0.326690,18,235,1591,0,0,0,0,0,0,0,0,0,0,0
0.328179,18,235,1631,0,0,0,0,0,0,0,0,0,0,0
0.329632,18,235,1598,0,0,0,0,0,0,0,0,0,0,0
0.331086,18,235,1591,0,0,0,0,0,0,0,0,0,0,0
0.332527,17,228,1645,0,0,0,0,0,0,0,0,0,0,0
0.333987,18,235,1580,0,0,0,0,0,0,0,0,0,0,0
0.335430,18,235,1625,0,0,0,0,0,0,0,0,0,0,0
0.336928,149,3755,15747,0,0,0,0,0,0,0,0,0,0,0
0.338380,18,235,1599,0,0,0,0,0,0,0,0,0,0,0
0.339817,18,235,1584,0,0,0,0,0,0,0,0,0,0,0
0.341297,18,235,1591,0,0,0,0,0,0,0,0,0,0,0
0.342738,18,235,1648,0,0,0,0,0,0,0,0,0,0,0
0.344172,18,235,1621,0,0,0,0,0,0,0,0,0,0,0
0.345676,18,231,1583,0,0,0,0,0,0,0,0,0,0,0
0.347138,169,368777,17995,0,0,0,0,0,0,0,0,0,0,0
0.348506,23,88981,2758,0,0,0,0,0,0,0,0,0,0,0
0.349950,18,237,1833,0,0,0,0,0,0,0,0,0,0,0
0.351390,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.352830,18,233,1657,0,0,0,0,0,0,0,0,0,0,0
0.354272,18,305,1650,0,0,0,0,0,0,0,0,0,0,0
0.355711,18,239,1735,0,0,0,0,0,0,0,0,0,0,0
0.357150,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.358591,18,233,1773,0,0,0,0,0,0,0,0,0,0,0
0.360041,18,237,1795,0,0,0,0,0,0,0,0,0,0,0
0.361566,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
0.363002,18,239,1655,0,0,0,0,0,0,0,0,0,0,0
0.364534,18,235,1653,0,0,0,0,0,0,0,0,0,0,0
0.365965,18,233,1650,0,0,0,0,0,0,0,0,0,0,0
0.367395,18,235,1651,0,0,0,0,0,0,0,0,0,0,0
0.368827,18,239,1642,0,0,0,0,0,0,0,0,0,0,0
0.370266,18,239,1673,0,0,0,0,0,0,0,0,0,0,0
0.371698,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.373131,17,228,1737,0,0,0,0,0,0,0,0,0,0,0
0.374569,18,235,1647,0,0,0,0,0,0,0,0,0,0,0
0.376012,18,239,1646,0,0,0,0,0,0,0,0,0,0,0
0.377501,17,232,1724,0,0,0,0,0,0,0,0,0,0,0
0.378934,17,232,1669,0,0,0,0,0,0,0,0,0,0,0
0.380437,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.381872,18,237,1649,0,0,0,0,0,0,0,0,0,0,0
0.383398,17,232,1653,0,0,0,0,0,0,0,0,0,0,0
0.384892,17,232,1785,0,0,0,0,0,0,0,0,0,0,0
0.386459,17,228,1657,0,0,0,0,0,0,0,0,0,0,0
0.389681,17,232,1678,0,0,0,0,0,0,0,0,0,0,0
0.391437,18,235,1635,0,0,0,0,0,0,0,0,0,0,0
0.392943,18,227,1652,0,0,0,0,0,0,0,0,0,0,0
0.394386,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.395822,17,220,1651,0,0,0,0,0,0,0,0,0,0,0
0.397294,17,232,1659,0,0,0,0,0,0,0,0,0,0,0
0.398729,17,220,1652,0,0,0,0,0,0,0,0,0,0,0
0.400170,18,243,1647,0,0,0,0,0,0,0,0,0,0,0
0.401669,18,225,1641,0,0,0,0,0,0,0,0,0,0,0
0.403107,18,239,1646,0,0,0,0,0,0,0,0,0,0,0
0.404597,18,235,1653,0,0,0,0,0,0,0,0,0,0,0
0.406038,17,220,1664,0,0,0,0,0,0,0,0,0,0,0
0.407476,17,232,1661,0,0,0,0,0,0,0,0,0,0,0
0.408917,17,228,1659,0,0,0,0,0,0,0,0,0,0,0
0.410355,17,220,1654,0,0,0,0,0,0,0,0,0,0,0
0.411809,18,227,1655,0,0,0,0,0,0,0,0,0,0,0
0.413282,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.414849,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.416452,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.418057,17,232,1660,0,0,0,0,0,0,0,0,0,0,0
0.419658,17,232,1659,0,0,0,0,0,0,0,0,0,0,0
0.421134,18,239,1641,0,0,0,0,0,0,0,0,0,0,0
0.422720,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.424325,17,228,1656,0,0,0,0,0,0,0,0,0,0,0
0.425929,17,230,1814,0,0,0,0,0,0,0,0,0,0,0
0.427531,17,220,1659,0,0,0,0,0,0,0,0,0,0,0
0.429133,17,220,1661,0,0,0,0,0,0,0,0,0,0,0
0.430736,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.432341,18,223,1654,0,0,0,0,0,0,0,0,0,0,0
0.433832,18,235,1645,0,0,0,0,0,0,0,0,0,0,0
0.435420,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.437070,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.438675,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.440374,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.441903,17,228,1654,0,0,0,0,0,0,0,0,0,0,0
0.443349,17,232,1664,0,0,0,0,0,0,0,0,0,0,0
0.444932,17,230,1666,0,0,0,0,0,0,0,0,0,0,0
0.446537,18,239,1737,0,0,0,0,0,0,0,0,0,0,0
0.448139,17,226,1662,0,0,0,0,0,0,0,0,0,0,0
0.449745,18,237,1655,0,0,0,0,0,0,0,0,0,0,0
0.451187,18,237,1650,0,0,0,0,0,0,0,0,0,0,0
0.452638,17,232,1659,0,0,0,0,0,0,0,0,0,0,0
0.454211,17,228,1663,0,0,0,0,0,0,0,0,0,0,0
0.455827,18,237,1646,0,0,0,0,0,0,0,0,0,0,0
0.457431,18,233,1653,0,0,0,0,0,0,0,0,0,0,0
0.459036,18,239,1653,0,0,0,0,0,0,0,0,0,0,0
0.460686,17,232,1661,0,0,0,0,0,0,0,0,0,0,0
0.462292,17,230,1661,0,0,0,0,0,0,0,0,0,0,0
0.463896,17,230,1653,0,0,0,0,0,0,0,0,0,0,0
0.465450,18,239,1642,0,0,0,0,0,0,0,0,0,0,0
0.467034,17,232,1666,0,0,0,0,0,0,0,0,0,0,0
0.468641,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.470246,17,232,1890,0,0,0,0,0,0,0,0,0,0,0
0.471850,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.473456,17,230,1676,0,0,0,0,0,0,0,0,0,0,0
0.475052,17,228,1659,0,0,0,0,0,0,0,0,0,0,0
