elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.248749,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.250325,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.251775,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.253173,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.254568,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.255962,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.257355,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.258981,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.260601,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.262207,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.263811,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.265414,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.267063,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.268668,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.270288,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.271893,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.273496,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.275143,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.276748,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.278353,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.279957,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.281573,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.283194,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.284768,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.286284,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.287789,0,0,36,1,297,0,0,0,0,0,0,0,0,0
0.289201,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.290640,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.292041,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.293427,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.294862,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.296255,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.297647,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.299113,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.300472,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.301832,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.303242,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.304600,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.305998,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.307347,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.308749,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.310149,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.311549,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.312841,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.314266,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.315657,0,0,36,1,261,0,0,0,0,0,0,0,0,0
0.317097,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.318495,0,0,36,1,257,0,0,0,0,0,0,0,0,0
0.319893,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.321297,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.323123,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.324609,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.326090,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.327547,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.329477,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.330958,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.332412,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.333851,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.335350,32,41,388,26,3945,0,0,0,0,0,0,0,0,0
0.336914,0,0,40,1,255,0,0,0,0,0,0,0,0,0
0.339409,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.340845,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.342279,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.343714,0,0,36,1,267,0,0,0,0,0,0,0,0,0
0.345151,149,168,596,11,22865,0,0,0,0,0,0,0,0,0
0.346444,66,76,77,13,439877,0,0,0,0,0,0,0,0,0
0.347878,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.349315,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.350756,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.352195,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.353634,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.355289,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.356739,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.358180,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.359924,0,0,36,1,263,0,0,0,0,0,0,0,0,0
0.361363,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.362797,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.364231,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.365665,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.367213,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.368645,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.370099,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.371557,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.372993,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.374437,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.375867,0,0,36,1,257,0,0,0,0,0,0,0,0,0
0.377531,0,0,36,1,259,0,0,0,0,0,0,0,0,0
0.378999,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.380437,0,0,34,1,291,0,0,0,0,0,0,0,0,0
0.381871,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.383364,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.384796,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.386236,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.387685,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.389123,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.390565,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.392002,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.393440,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.394912,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.396479,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.398096,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.399698,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.401297,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.402901,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.404503,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.406108,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.407711,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.409325,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.410927,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.412529,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.414131,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.415734,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.417334,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.418937,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.420553,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.422157,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.423760,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.425362,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.426965,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.428567,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.430170,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.431663,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.433237,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.434840,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.436442,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.438046,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.439649,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.441249,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.442866,0,0,34,1,255,0,0,0,0,0,0,0,0,0
0.444469,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.446073,0,0,34,1,285,0,0,0,0,0,0,0,0,0
0.447687,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.449181,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.450631,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.452197,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.453801,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.455543,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.457145,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.458752,0,0,34,1,231,0,0,0,0,0,0,0,0,0
0.460357,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.462025,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.463583,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.465072,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.466653,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.468256,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.469858,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.471466,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.473068,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.474712,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.476328,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.477930,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.479576,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.481178,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.482782,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.484386,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.485990,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.487725,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.489329,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.490933,0,0,34,1,243,0,0,0,0,0,0,0,0,0
