elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.430361,0,0,0,0,0,0,0
0.432068,0,0,0,0,0,0,0
0.433633,0,0,0,0,0,0,0
0.435201,0,0,0,0,0,0,0
0.436656,0,0,0,0,0,0,0
0.438193,0,0,0,0,0,0,0
0.439806,0,0,0,0,0,0,0
0.441374,0,0,0,0,0,0,0
0.442943,0,0,0,0,0,0,0
0.444511,0,0,0,0,0,0,0
0.446078,0,0,0,0,0,0,0
0.447658,0,0,0,0,0,0,0
0.449225,0,0,0,0,0,0,0
0.450792,0,0,0,0,0,0,0
0.452361,0,0,0,0,0,0,0
0.453928,0,0,0,0,0,0,0
0.455497,0,0,0,0,0,0,0
0.457065,0,0,0,0,0,0,0
0.458644,0,0,0,0,0,0,0
0.460215,0,0,0,0,0,0,0
0.461781,0,0,0,0,0,0,0
0.463351,0,0,0,0,0,0,0
0.464920,0,0,0,0,0,0,0
0.466484,0,0,0,0,0,0,0
0.468055,0,0,0,0,0,0,0
0.469634,0,0,0,0,0,0,0
0.471229,0,0,0,0,0,0,0
0.472881,0,0,0,0,0,0,0
0.474446,0,0,0,0,0,0,0
0.476017,0,0,0,0,0,0,0
0.477583,0,0,0,0,0,0,0
0.479194,0,0,0,0,0,0,0
0.480775,0,0,0,0,0,0,0
0.482341,0,0,0,0,0,0,0
0.483908,0,0,0,0,0,0,0
0.485476,0,0,0,0,0,0,0
0.487087,0,0,0,0,0,0,0
0.488655,0,0,0,0,0,0,0
0.490222,0,0,0,0,0,0,0
0.491802,0,0,0,0,0,0,0
0.493369,0,0,0,0,0,0,0
0.494980,0,0,0,0,0,0,0
0.496547,0,0,0,0,0,0,0
0.498113,0,0,0,0,0,0,0
0.499679,0,0,0,0,0,0,0
0.501237,0,0,0,0,0,0,0
0.502935,0,0,0,0,0,0,0
0.504502,0,0,0,0,0,0,0
0.506103,0,0,0,0,0,0,0
0.507671,0,0,0,0,0,0,0
0.509239,0,0,0,0,0,0,0
0.510851,0,0,0,0,0,0,0
0.512409,0,0,0,0,0,0,0
0.513978,0,0,0,0,0,0,0
0.515413,0,0,0,0,0,0,0
0.516949,0,0,0,0,0,0,0
0.518558,0,0,0,0,0,0,0
0.520127,0,0,0,0,0,0,0
0.521693,0,0,0,0,0,0,0
0.523263,0,0,0,0,0,0,0
0.524844,0,0,0,0,0,0,0
0.526408,0,0,0,0,0,0,0
0.528025,0,0,0,0,0,0,0
0.529589,0,0,0,0,0,0,0
0.531155,0,0,0,0,0,0,0
0.532722,0,0,0,0,0,0,0
0.534286,0,0,0,0,0,0,0
0.535738,0,0,0,0,0,0,0
0.537273,0,0,0,0,0,0,0
0.538841,0,0,0,0,0,0,0
0.540406,0,0,0,0,0,0,0
0.542009,0,0,0,0,0,0,0
0.543577,0,0,0,0,0,0,0
0.545143,0,0,0,0,0,0,0
0.546721,0,0,0,0,0,0,0
0.548422,0,0,0,0,0,0,0
0.549986,0,0,0,0,0,0,0
0.551554,0,0,0,0,0,0,0
0.553120,0,0,0,0,0,0,0
0.554684,0,0,0,0,0,0,0
0.556127,0,0,0,0,0,0,0
0.557545,0,0,0,0,0,0,0
0.559121,0,0,0,0,0,0,0
0.560688,0,0,0,0,0,0,0
0.562253,0,0,0,0,0,0,0
0.563820,0,0,0,0,0,0,0
0.565289,0,0,0,0,0,0,0
0.566811,0,0,0,0,0,0,0
0.568194,0,0,0,0,0,0,0
0.569544,0,0,0,0,0,0,0
0.570938,0,0,0,0,0,0,0
0.572285,0,0,0,0,0,0,0
0.573631,0,0,0,0,0,0,0
0.575035,0,0,0,0,0,0,0
0.576400,0,0,0,0,0,0,0
0.577732,0,0,0,0,0,0,0
0.579078,0,0,0,0,0,0,0
0.580405,0,0,0,0,0,0,0
0.581730,0,0,0,0,0,0,0
0.583100,0,0,0,0,0,0,0
0.584406,0,0,0,0,0,0,0
0.585710,0,0,0,0,0,0,0
0.587065,0,0,0,0,0,0,0
0.588370,0,0,0,0,0,0,0
0.589680,0,0,0,0,0,0,0
0.591024,0,0,0,0,0,0,0
0.592396,0,0,0,0,0,0,0
0.593659,0,0,0,0,0,0,0
0.595080,0,0,0,0,0,0,0
0.596451,0,0,0,0,0,0,0
0.597822,0,0,0,0,0,0,0
0.599263,0,0,0,0,0,0,0
0.600648,0,0,0,0,0,0,0
0.602003,0,0,0,0,0,0,0
0.603365,0,0,0,0,0,0,0
0.604725,0,0,0,0,0,0,0
0.606077,0,0,0,0,0,0,0
0.607502,0,0,0,0,0,0,0
0.609233,0,0,0,0,0,0,0
0.610694,0,0,0,0,0,0,0
0.612097,0,0,0,0,0,0,0
0.613498,0,0,0,0,0,0,0
0.615202,0,0,0,0,0,0,0
0.616826,0,0,0,0,0,0,0
0.618261,0,0,0,0,0,0,0
0.619970,0,0,0,0,0,0,0
0.621381,0,0,0,0,0,0,0
0.622860,0,0,0,0,0,0,0
0.624275,0,0,0,0,0,0,0
0.625672,0,0,0,0,0,0,0
0.627069,0,0,0,0,0,0,0
0.628588,0,0,0,0,0,0,0
0.629857,0,0,0,0,0,0,0
0.631359,0,0,0,0,0,0,0
0.632761,0,0,0,0,0,0,0
0.634162,0,0,0,0,0,0,0
0.635563,0,0,0,0,0,0,0
0.636965,0,0,0,0,0,0,0
0.638366,0,0,0,0,0,0,0
0.639940,0,0,0,0,0,0,0
0.641375,0,0,0,0,0,0,0
0.642864,0,0,0,0,0,0,0
0.644278,0,0,0,0,0,0,0
0.645679,0,0,0,0,0,0,0
0.648282,0,0,0,0,0,0,0
0.649678,0,0,0,0,0,0,0
0.654881,0,0,0,0,0,0,0
0.656370,0,0,0,0,0,0,0
0.657740,0,0,0,0,0,0,0
0.659096,0,0,0,0,0,0,0
0.660451,0,0,0,0,0,0,0
0.661804,0,0,0,0,0,0,0
0.663217,0,0,0,0,0,0,0
0.664620,0,0,0,0,0,0,0
0.666022,0,0,0,0,0,0,0
0.667709,0,0,0,0,0,0,0
0.669107,0,0,0,0,0,0,0
0.670538,0,0,0,0,0,0,0
0.671968,0,0,0,0,0,0,0
0.673363,0,0,0,0,0,0,0
0.674821,0,0,0,0,0,0,0
0.676224,0,0,0,0,0,0,0
0.677627,0,0,0,0,0,0,0
0.679039,0,0,0,0,0,0,0
0.680442,0,0,0,0,0,0,0
0.681844,0,0,0,0,0,0,0
0.683249,0,0,0,0,0,0,0
0.684653,0,0,0,0,0,0,0
0.686056,0,0,0,0,0,0,0
0.687461,0,0,0,0,0,0,0
0.688995,0,0,0,0,0,0,0
0.690574,0,0,0,0,0,0,0
0.692184,0,0,0,0,0,0,0
0.693749,0,0,0,0,0,0,0
0.695260,0,0,0,0,0,0,0
0.696684,0,0,0,0,0,0,0
0.698089,0,0,0,0,0,0,0
0.699496,0,0,0,0,0,0,0
0.700913,0,0,0,0,0,0,0
0.702451,0,0,0,0,0,0,0
0.704251,0,0,0,0,0,0,0
0.705652,0,0,0,0,0,0,0
0.707090,0,0,0,0,0,0,0
0.708488,0,0,0,0,0,0,0
0.709884,0,0,0,0,0,0,0
0.711297,0,0,0,0,0,0,0
0.713469,0,0,0,0,0,0,0
0.715960,0,0,0,0,0,0,0
0.717361,0,0,0,0,0,0,0
0.718918,0,0,0,0,0,0,0
0.720363,0,0,0,0,0,0,0
0.721740,0,0,0,0,0,0,0
0.723096,0,0,0,0,0,0,0
0.724453,0,0,0,0,0,0,0
0.725808,0,0,0,0,0,0,0
0.727174,0,0,0,0,0,0,0
0.728573,0,0,0,0,0,0,0
0.730096,0,0,0,0,0,0,0
0.731537,0,0,0,0,0,0,0
0.733091,0,0,0,0,0,0,0
0.734697,0,0,0,0,0,0,0
0.736307,0,0,0,0,0,0,0
0.737870,0,0,0,0,0,0,0
0.739436,0,0,0,0,0,0,0
0.741002,0,0,0,0,0,0,0
0.742609,0,0,0,0,0,0,0
0.744192,0,0,0,0,0,0,0
0.745755,0,0,0,0,0,0,0
0.747321,0,0,0,0,0,0,0
0.748761,0,0,0,0,0,0,0
0.750292,0,0,0,0,0,0,0
0.751725,0,0,0,0,0,0,0
0.753260,0,0,0,0,0,0,0
0.754837,0,0,0,0,0,0,0
0.756401,0,0,0,0,0,0,0
0.757964,0,0,0,0,0,0,0
0.759530,0,0,0,0,0,0,0
0.761094,0,0,0,0,0,0,0
0.762657,0,0,0,0,0,0,0
0.764225,0,0,0,0,0,0,0
0.765802,0,0,0,0,0,0,0
0.767369,0,0,0,0,0,0,0
0.768934,0,0,0,0,0,0,0
0.770496,0,0,0,0,0,0,0
0.772064,0,0,0,0,0,0,0
0.773627,0,0,0,0,0,0,0
0.775233,0,0,0,0,0,0,0
0.776812,0,0,0,0,0,0,0
0.778375,0,0,0,0,0,0,0
0.779888,0,0,0,0,0,0,0
0.781423,0,0,0,0,0,0,0
0.783033,0,0,0,0,0,0,0
0.784599,0,0,0,0,0,0,0
0.786162,0,0,0,0,0,0,0
0.787740,0,0,0,0,0,0,0
0.789304,0,0,0,0,0,0,0
0.790913,0,0,0,0,0,0,0
0.792479,0,0,0,0,0,0,0
0.794041,0,0,0,0,0,0,0
0.795605,0,0,0,0,0,0,0
0.797170,0,0,0,0,0,0,0
0.798792,0,0,0,0,0,0,0
0.800357,0,0,0,0,0,0,0
0.801920,0,0,0,0,0,0,0
0.803450,0,0,0,0,0,0,0
0.804872,0,0,0,0,0,0,0
0.806278,0,0,0,0,0,0,0
0.807728,0,0,0,0,0,0,0
0.809144,0,0,0,0,0,0,0
0.810588,0,0,0,0,0,0,0
0.811963,0,0,0,0,0,0,0
0.813494,0,0,0,0,0,0,0
0.815103,0,0,0,0,0,0,0
0.816671,0,0,0,0,0,0,0
0.818235,0,0,0,0,0,0,0
0.819814,0,0,0,0,0,0,0
0.821381,0,0,0,0,0,0,0
0.822991,0,0,0,0,0,0,0
0.824549,0,0,0,0,0,0,0
